# address	flags	name   (generated by lifted_oracle_plan.py)
0x00401000	ok	??0StringStruct@@QAE@H@Z
0x00401060	indirect	?close@StringStruct@@QAEXXZ
0x00401100	extcall,iat,indirect,undef=4	?add@StringStruct@@QAEHH@Z
0x00401520	extcall,iat,indirect,undef=4	sub_401520
0x00401560	undef=4	?seek_id@StringStruct@@QAEHH@Z
0x004015b0	extcall,undef=4	?seek_pos@StringStruct@@QAEHH@Z
0x00401640	undef=4	?current_id@StringStruct@@QAEHXZ
0x00401660	ok	??0ServiceStruct@@QAE@H@Z
0x004016c0	indirect	?close@ServiceStruct@@QAEXXZ
0x00401760	extcall,iat,indirect,undef=4	?add@ServiceStruct@@QAEHH@Z
0x00401b80	ok	sub_401b80
0x00401be0	indirect	sub_401be0
0x00401c80	ok	SessionStruct::SessionStruct
0x00401ce0	indirect	SessionStruct::close
0x00401d80	extcall,fs,iat,indirect,undef=4	sub_401d80
0x00402310	ok	sub_402310
0x00402320	extcall,iat,indirect,undef=4	sub_402320
0x00402350	extcall,fs,iat,indirect,undef=4	sub_402350
0x004023a0	extcall,fs,indirect,undef=4	sub_4023a0
0x00402500	undef=4	?next_entry@StringStruct@@QAEHXZ
0x00402530	undef=4	?current_entry@StringStruct@@QAEHXZ
0x00402550	extcall,iat,indirect,undef=4	SpriteStruct::add
0x00402970	indirect,undef=4	StringStruct::remove_all
0x004029f0	extcall,iat,indirect,undef=4	??1StringStruct@@QAE@H@Z
0x00402a60	extcall,iat,indirect,undef=4	ServiceStruct::dt
0x00402ad0	extcall,iat,indirect,undef=4	sub_402ad0
0x00402b40	extcall,iat,indirect,undef=4	SessionStruct::dt
0x00402bb0	extcall,iat,indirect,undef=4	sub_402bb0
0x00402c20	extcall,iat,indirect,undef=4	sub_402c20
0x00402c70	extcall,iat,indirect,undef=4	sub_402c70
0x00402cc0	extcall,fs,iat,indirect,undef=4	sub_402cc0
0x00402d10	ok	sub_402d10
0x00402d80	extcall,iat,indirect,undef=4	sub_402d80
0x00402dd0	extcall,fs,indirect	sub_402dd0
0x00402ee0	indirect	sub_402ee0
0x00402f10	extcall,fs,indirect	??__Eg_ALPHAMENU_WAVE@@YAXXZ
0x00402f30	extcall,fs,iat,indirect	??__Fg_ALPHAMENU_WAVE@@YAXXZ
0x00402f40	extcall,fs,iat,indirect,undef=4,x87	?init@AlphaMenu@@QAEHPAUWin@@@Z
0x004031a0	extcall,iat,indirect,undef=4	?compute@AlphaMenu@@QAEXXZ
0x004032a0	indirect	?adjust@AlphaMenu@@QAEXXZ
0x00403340	extcall,fs,iat,indirect,x87	?on_redraw@AlphaMenu@@QAEXXZ
0x00403550	extcall,fs,iat,indirect,x87	?on_mouse_move@AlphaMenu@@QAEXHH@Z
0x00403610	undef=4	?requested_height@AlphaMenu@@QAEHXZ
0x00403620	ok	?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z
0x00403680	extcall,fs,iat,indirect,undef=4,x87	?show@AlphaMenu@@QAEXXZ
0x00403830	extcall,fs,iat,indirect,undef=4,x87	?hide@AlphaMenu@@QAEXXZ
0x00403af0	extcall,fs,iat,indirect,x87	?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z
0x00403b70	extcall,fs,iat,indirect,x87	?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z
0x00403ba0	extcall,fs,iat,indirect,undef=4,x87	?amovie_project@@YAXH@Z
0x00403be0	extcall,fs,iat,indirect,x87	?amovie_project@@YAXPAD@Z
0x00404010	extcall,fs,iat,indirect,x87	??0AlphaMovie@@QAE@XZ
0x00404070	extcall,fs,iat,indirect,undef=4,x87	?exec@AlphaMovie@@QAEHPAD@Z
0x004041c0	ok	?on_modal@AlphaMovie@@QAE_NXZ
0x004041e0	extcall,fs,iat,indirect,x87	?close@AlphaMovie@@QAEXXZ
0x00404200	ok	?UNK1@AlphaMovie@@QAEXXZ
0x00404210	indirect	?on_key_click@AlphaMovie@@QAEHHH@Z
0x00404220	undef=4	?UNK2@AlphaMovie@@QAEHHHH@Z
0x00404230	ok	?UNK3@AlphaMovie@@QAEHH@Z
0x00404240	undef=4	?UNK4@AlphaMovie@@QAEHHHHH@Z
0x00404250	undef=4	?UNK5@AlphaMovie@@QAEHH@Z
0x00404260	ok	?UNK6@AlphaMovie@@QAEXHH@Z
0x00404270	ok	?UNK6@AlphaMovie@@QAEXH@Z
0x00404280	ok	?UNK7@AlphaMovie@@QAEXXZ
0x00404290	extcall,fs,iat,indirect,x87	?update@AlphaMovie@@QAEXXZ
0x004042a0	ok	?UNK8@AlphaMovie@@QAEHHH@Z
0x004042b0	ok	sub_4042b0
0x004042c0	extcall,fs,iat,indirect	??1MCIVideo@@QAE@XZ
0x00404310	extcall,fs,iat,indirect,x87	??1AlphaMovie@@QAE@XZ
0x004043a0	extcall,fs,iat,indirect,undef=4,x87	??_GAlphaMovie@@UAEPAXI@Z
0x004043d0	extcall,fs,iat,indirect,x87	??1UV2Player@@QAE@XZ
0x00404420	ok	sub_404420
0x00404430	extcall,fs,iat,indirect,x87	??3AlphaMovie@@SAXPAXI@Z
0x00404440	extcall	??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ
0x00404460	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ
0x00404470	extcall	??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ
0x00404490	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ
0x004044a0	extcall	??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ
0x004044c0	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ
0x004044d0	extcall	??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ
0x004044f0	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ
0x00404500	extcall	??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ
0x00404520	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ
0x00404530	extcall	??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ
0x00404550	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ
0x00404560	extcall	??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ
0x00404580	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ
0x00404590	extcall	??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ
0x004045b0	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ
0x004045c0	extcall	??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ
0x004045e0	extcall,iat,indirect	??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ
0x004045f0	extcall	??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ
