address	verdict	cases	compared	detail	name
0x00401000	PASS	16	15		??0StringStruct@@QAE@H@Z
0x00401060	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x00401077 after 0 steps	?close@StringStruct@@QAEXXZ
0x00401100	SKIP	0	0	reaches an import	?add@StringStruct@@QAEHH@Z
0x00401520	SKIP	0	0	reaches an import	sub_401520
0x00401560	PASS	16	4		?seek_id@StringStruct@@QAEHH@Z
0x004015b0	SKIP	0	0	calls a body the lift does not have	?seek_pos@StringStruct@@QAEHH@Z
0x00401640	PASS	16	5		?current_id@StringStruct@@QAEHXZ
0x00401660	PASS	16	13		??0ServiceStruct@@QAE@H@Z
0x004016c0	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x004016d4 after 0 steps	?close@ServiceStruct@@QAEXXZ
0x00401760	SKIP	0	0	reaches an import	?add@ServiceStruct@@QAEHH@Z
0x00401b80	PASS	16	14		sub_401b80
0x00401be0	PASS	16	1		sub_401be0
0x00401c80	PASS	16	14		SessionStruct::SessionStruct
0x00401ce0	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x00401d16 after 0 steps	SessionStruct::close
0x00401d80	SKIP	0	0	reaches an import	sub_401d80
0x00402310	PASS	16	15		sub_402310
0x00402320	SKIP	0	0	reaches an import	sub_402320
0x00402350	SKIP	0	0	reaches an import	sub_402350
0x004023a0	SKIP	0	0	uses fs: (SEH chain is not in the image)	sub_4023a0
0x00402500	PASS	16	2		?next_entry@StringStruct@@QAEHXZ
0x00402530	PASS	16	2	passed on the seeds that could be judged; 2 case(s) thrown out - the original read the unmodellable top 64 KiB	?current_entry@StringStruct@@QAEHXZ
0x00402550	SKIP	0	0	reaches an import	SpriteStruct::add
0x00402970	PASS	16	3		StringStruct::remove_all
0x004029f0	SKIP	0	0	reaches an import	??1StringStruct@@QAE@H@Z
0x00402a60	SKIP	0	0	reaches an import	ServiceStruct::dt
0x00402ad0	SKIP	0	0	reaches an import	sub_402ad0
0x00402b40	SKIP	0	0	reaches an import	SessionStruct::dt
0x00402bb0	SKIP	0	0	reaches an import	sub_402bb0
0x00402c20	SKIP	0	0	reaches an import	sub_402c20
0x00402c70	SKIP	0	0	reaches an import	sub_402c70
0x00402cc0	SKIP	0	0	reaches an import	sub_402cc0
0x00402d10	PASS	16	14		sub_402d10
0x00402d80	SKIP	0	0	reaches an import	sub_402d80
0x00402dd0	SKIP	0	0	uses fs: (SEH chain is not in the image)	sub_402dd0
0x00402ee0	PASS	16	3		sub_402ee0
0x00402f10	SKIP	0	0	uses fs: (SEH chain is not in the image)	??__Eg_ALPHAMENU_WAVE@@YAXXZ
0x00402f30	SKIP	0	0	reaches an import	??__Fg_ALPHAMENU_WAVE@@YAXXZ
0x00402f40	SKIP	0	0	reaches an import	?init@AlphaMenu@@QAEHPAUWin@@@Z
0x004031a0	SKIP	0	0	reaches an import	?compute@AlphaMenu@@QAEXXZ
0x004032a0	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x009d4dfc after 0 steps	?adjust@AlphaMenu@@QAEXXZ
0x00403340	SKIP	0	0	reaches an import	?on_redraw@AlphaMenu@@QAEXXZ
0x00403550	SKIP	0	0	reaches an import	?on_mouse_move@AlphaMenu@@QAEXHH@Z
0x00403610	PASS	16	16		?requested_height@AlphaMenu@@QAEHXZ
0x00403620	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x0040364c after 0 steps	?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z
0x00403680	SKIP	0	0	reaches an import	?show@AlphaMenu@@QAEXXZ
0x00403830	SKIP	0	0	reaches an import	?hide@AlphaMenu@@QAEXXZ
0x00403af0	SKIP	0	0	reaches an import	?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z
0x00403b70	SKIP	0	0	reaches an import	?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z
0x00403ba0	SKIP	0	0	reaches an import	?amovie_project@@YAXH@Z
0x00403be0	SKIP	0	0	reaches an import	?amovie_project@@YAXPAD@Z
0x00404010	SKIP	0	0	reaches an import	??0AlphaMovie@@QAE@XZ
0x00404070	SKIP	0	0	reaches an import	?exec@AlphaMovie@@QAEHPAD@Z
0x004041c0	PASS	16	14		?on_modal@AlphaMovie@@QAE_NXZ
0x004041e0	SKIP	0	0	reaches an import	?close@AlphaMovie@@QAEXXZ
0x00404200	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x00000068 after 0 steps	?UNK1@AlphaMovie@@QAEXXZ
0x00404210	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x0000001c after 0 steps	?on_key_click@AlphaMovie@@QAEHHH@Z
0x00404220	PASS	16	16		?UNK2@AlphaMovie@@QAEHHHH@Z
0x00404230	PASS	16	16		?UNK3@AlphaMovie@@QAEHH@Z
0x00404240	PASS	16	16		?UNK4@AlphaMovie@@QAEHHHHH@Z
0x00404250	PASS	16	16		?UNK5@AlphaMovie@@QAEHH@Z
0x00404260	PASS	16	16		?UNK6@AlphaMovie@@QAEXHH@Z
0x00404270	PASS	16	16		?UNK6@AlphaMovie@@QAEXH@Z
0x00404280	PASS	16	16		?UNK7@AlphaMovie@@QAEXXZ
0x00404290	SKIP	0	0	reaches an import	?update@AlphaMovie@@QAEXXZ
0x004042a0	PASS	16	16		?UNK8@AlphaMovie@@QAEHHH@Z
0x004042b0	PASS	16	16		sub_4042b0
0x004042c0	SKIP	0	0	reaches an import	??1MCIVideo@@QAE@XZ
0x00404310	SKIP	0	0	reaches an import	??1AlphaMovie@@QAE@XZ
0x004043a0	SKIP	0	0	reaches an import	??_GAlphaMovie@@UAEPAXI@Z
0x004043d0	SKIP	0	0	reaches an import	??1UV2Player@@QAE@XZ
0x00404420	PASS	16	16		sub_404420
0x00404430	SKIP	0	0	reaches an import	??3AlphaMovie@@SAXPAXI@Z
0x00404440	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ
0x00404460	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ
0x00404470	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ
0x00404490	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ
0x004044a0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ
0x004044c0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ
0x004044d0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ
0x004044f0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ
0x00404500	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ
0x00404520	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ
0x00404530	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ
0x00404550	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ
0x00404560	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ
0x00404580	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ
0x00404590	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ
0x004045b0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ
0x004045c0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ
0x004045e0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ
0x004045f0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ
0x00404610	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR18@@YAXXZ
0x00404620	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR03@@YAXXZ
0x00404640	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR03@@YAXXZ
0x00404650	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR20@@YAXXZ
0x00404670	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR20@@YAXXZ
0x00404680	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR16@@YAXXZ
0x004046a0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR16@@YAXXZ
0x004046b0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR14@@YAXXZ
0x004046d0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR14@@YAXXZ
0x004046e0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR22@@YAXXZ
0x00404700	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR22@@YAXXZ
0x00404710	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR10@@YAXXZ
0x00404730	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR10@@YAXXZ
0x00404740	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR15@@YAXXZ
0x00404760	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR15@@YAXXZ
0x00404770	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR13@@YAXXZ
0x00404790	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR13@@YAXXZ
0x004047a0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR17@@YAXXZ
0x004047c0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR17@@YAXXZ
0x004047d0	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR19@@YAXXZ
0x004047f0	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR19@@YAXXZ
0x00404800	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR12@@YAXXZ
0x00404820	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR12@@YAXXZ
0x00404830	SKIP	0	0	calls a body the lift does not have	??__Eg_UNUSED_SPRITE_VAR07@@YAXXZ
0x00404850	SKIP	0	0	reaches an import	??__Fg_UNUSED_SPRITE_VAR07@@YAXXZ
0x00404860	SKIP	0	0	reaches an import	?sprite_draw_func@@YAXPAUSprite@@PAUGraphicWin@@HHH@Z
0x004048a0	SKIP	0	0	reaches an import	??0Popup@@QAE@XZ
0x00404900	SKIP	0	0	reaches an import	?close@Popup@@QAEXXZ
0x00404920	SKIP	0	0	reaches an import	?show@Popup@@QAEXH@Z
0x00404a80	SKIP	0	0	reaches an import	?hide@Popup@@QAEXXZ
0x00404b00	SKIP	0	0	reaches an import	?on_redraw@Popup@@QAEXXZ
0x00404b10	SKIP	0	0	reaches an import	?calculate_dimensions@Popup@@QAEHXZ
0x00404ef0	PASS	16	15		?on_post_window_init@Popup@@QAEXXZ
0x00404f80	PASS	16	16		?on_redraw_nc@Popup@@QAEXPAURECT@@H@Z
0x00404f90	PASS	16	13		?on_nc_hittest@Popup@@QAEHHH@Z
0x00404fb0	SKIP	0	0	reaches an import	?alloc@Popup@@QAAHXZ
0x00405020	PASS	16	14		?on_adjust_button_width@Popup@@QAEXXZ
0x00405050	PASS	16	8		?on_adjust_button_placement@Popup@@QAEXPAH00@Z
0x004050a0	SKIP	0	0	reaches an import	?on_link_clicked@Popup@@QAEHHPAD@Z
0x00405140	SKIP	0	0	reaches an import	?POP2@@YAHPBDPBDH@Z
0x004055a0	SKIP	0	0	reaches an import	?POP3@@YAXPBDPBDHHH@Z
0x00405910	SKIP	0	0	reaches an import	?on_exec@Popup@@QAEHXZ
0x00405b10	PASS	16	16		?on_dialog_back_draw@Popup@@QAEHPAUGraphicWin@@@Z
0x00405b20	SKIP	0	0	reaches an import	?on_dialog_item_back_draw@Popup@@QAEHPAUGraphicWin@@HHPAURECT@@@Z
0x00405c80	SKIP	0	0	reaches an import	?on_draw_background@Popup@@QAEHXZ
0x00406260	SKIP	0	0	reaches an import	?on_listbox_scroll_create@Popup@@QAEHXZ
0x00406330	SKIP	0	0	reaches an import	?on_listbox_scroll_delete@Popup@@QAEHPAUScroll@@@Z
0x00406380	SKIP	0	0	reaches an import	?start@Popup@@QAEXPADPBDHPADHPAUGraphicWin@@@Z
0x004064d0	SKIP	0	0	reaches an import	??1BasePop@@QAE@XZ
0x00406670	SKIP	0	0	reaches an import	sub_406670
0x004066c0	SKIP	0	0	uses fs: (SEH chain is not in the image)	sub_4066c0
0x00406820	SKIP	0	0	uses fs: (SEH chain is not in the image)	sub_406820
0x00406840	PASS	16	16		sub_406840
0x00406850	SKIP	0	0	reaches an import	??1Sprite@@QAE@XZ
0x00406860	SKIP	0	0	reaches an import	?hide@BaseButton@@QAEXXZ
0x00406880	SKIP	0	0	reaches an import	??1FlatButton@@QAE@XZ
0x004068e0	SKIP	0	0	reaches an import	??_GFlatButton@@UAEPAXI@Z
0x00406910	SKIP	0	0	reaches an import	??1Dialogs@@QAE@XZ
0x00406a80	PASS	16	16		sub_406a80
0x00406a90	SKIP	0	0	reaches an import	sub_406a90
0x00406af0	SKIP	0	0	reaches an import	sub_406af0
0x00406b20	PASS	16	16		nullsub_27
0x00406b30	PASS	16	16		sub_406b30
0x00406b40	SKIP	0	0	reaches an import	??_GBasePop@@UAEPAXI@Z
0x00406b70	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x00406b92 after 0 steps	sub_406b70
0x00406ba0	INCONCLUSIVE-original-fault	16	0	INCONCLUSIVE-original-fault code 0xc0000005 at 0x00000050 after 0 steps	sub_406ba0
0x00406bd0	SKIP	0	0	reaches an import	??_GPopup@@UAEPAXI@Z
0x00406c00	SKIP	0	0	reaches an import	??1Popup@@QAE@XZ
0x00406e60	SKIP	0	0	reaches an import	??1Scroll@@QAE@XZ
0x00406f20	SKIP	0	0	reaches an import	??_GScroll@@UAEPAXI@Z
0x00406f50	SKIP	0	0	reaches an import	??1thunk1_RadioButton@@QAE@H@Z
0x00406f60	SKIP	0	0	reaches an import	??1RadioButton@@QAE@H@Z
0x00406ff0	SKIP	0	0	reaches an import	?on_redraw@thunk1_RadioButton@@QAEXXZ
0x00407000	SKIP	0	0	calls a body the lift does not have	?on_mouse_move@thunk1_RadioButton@@QAEXHH@Z
