class,lower_bound,evidence
AAmbience,0x5C,inc dword ptr [ecx + 0x58] at 0x00448280
AlphaMenu,0x1138,"mov edi, dword ptr [ebx + 0x1134] at 0x004031B1"
AlphaMovie,0x448,"mov dword ptr [esi + 0x444], 0x669450 at 0x0040404F"
AlphaNet,0x148C,"mov dword ptr [esi + 0x1488], eax at 0x004E24FD"
AlphaSave,0x5818,"mov dword ptr [ebx + 0x444], 0x66974c at 0x00408237"
Ambience,0x55,"mov dl, byte ptr [ebx] at 0x004C84FC"
AutoSound,0x98,"mov dword ptr [eax + 0x94], ecx at 0x0062BBE1"
BAmbience,0x80,"mov dword ptr [esi + 0x7c], 0xf at 0x00447906"
BaseButton,0xAB8,"mov dword ptr [esi + 0xab4], edi at 0x00606FC3"
BasePop,0x3230,"mov dword ptr [ebp + 0x322c], ebx at 0x00600DED"
BaseWin,0x45B34,"mov dword ptr [edi + 0x444], ebx at 0x00420AC8"
BattleWin,0xA0,"mov dword ptr [eax + 0xc], edx at 0x00421A4A"
Buffer,0x588,"mov dword ptr [esi + 0x584], edx at 0x005D7254"
ButtonGroup,0x94,"mov dword ptr [edx + 0x90], eax at 0x0062B7D8"
Caviar,0x13D0,"mov dword ptr [eax + 0x13cc], ecx at 0x00616DC8"
CaviarData,0xC,"mov dword ptr [eax + 8], ecx at 0x00616BC9"
CheckBox,0x18,"mov dword ptr [esi + 0x14], edx at 0x0060E719"
CheckButton,0xA2C,"mov dword ptr [esi + 0xa28], eax at 0x00633787"
Console,0x23D90,"mov dword ptr [esi + 0x23d8c], edi at 0x0050F60B"
CouncWin,0x4614,"mov eax, dword ptr [ebx + 0x4610] at 0x00424854"
Credits,0x2640,"mov dword ptr [edi + 0x444], 0x66974c at 0x00428F06"
Cursor,0x10,"mov dword ptr [eax + 0xc], ecx at 0x0063B2D9"
Datalink,0x1B394,"mov eax, dword ptr [ebx + 4] at 0x00432319"
DeletionList,0x5A4,"mov dword ptr [eax + 0x5a0], ecx at 0x0052DCA7"
DesignWin,0x145A4,"mov ecx, dword ptr [edi + 0x10] at 0x004363BB"
Dialog,0xF4,"mov dword ptr [esi + 0xf0], eax at 0x00608CD1"
Dialogs,0x184,"mov dword ptr [ecx + 0x180], eax at 0x00612977"
DipEdit,0x5240,"mov dword ptr [edi + 0x444], ebx at 0x004E227E"
DiploPop,0x420C,"mov eax, dword ptr [ebx + 0x4208] at 0x004400A9"
DiploWin,0xE5B0,"mov dword ptr [esi + 0xe5ac], 0 at 0x004446F4"
EditBox,0xB4C,"mov dword ptr [esi + 0xb48], ebx at 0x00614F0B"
EditGroup,0x88,"mov dword ptr [esi + 0x84], edx at 0x006119FE"
Effect,0x4,"mov eax, dword ptr [edi] at 0x00445CB5"
ExternalContextBase,0x4,"mov eax, dword ptr [ecx] at 0x00447D10"
FX,0x28F0,"mov dword ptr [ebx + 0x28ec], 0xffffffff at 0x00445CD9"
FactionAmbience,0x6E,"mov byte ptr [esi + 0x6d], al at 0x0044720F"
FameWin,0xB48C,"mov dword ptr [esi + 0xb488], 0x248 at 0x00448664"
FileBox,0x419,"mov cl, byte ptr [esi + 0x418] at 0x00634C74"
FileWin,0x33C4,"mov dword ptr [esi + 0x33c0], ebx at 0x006138E4"
Filemap,0x10,"mov dword ptr [esi + 0xc], ebp at 0x006286B2"
FlatButton,0xB44,"mov dword ptr [eax + 0x60], ebx at 0x00607D7D"
Flic,0xABC,"mov di, word ptr [ebx + 6] at 0x0062A371"
Font,0x28,"mov dword ptr [eax + 0x24], ecx at 0x00618EBC"
FontQueue,0x9C,"mov dword ptr [ecx + 0x98], edx at 0x00559353"
Fractal,0x2C0,"mov byte ptr [eax], cl at 0x005C1E76"
GAmbience,0x74,"mov dword ptr [esi + 0x70], eax at 0x00447BB5"
Gamma,0x46B4,"mov edx, dword ptr [esi + 0x46b0] at 0x005C9370"
GraphicWin,0xA14,"mov dword ptr [esi + 0xa10], edi at 0x005D4D37"
Heap,0x14,"mov dword ptr [eax + 0x10], ecx at 0x005D456C"
ImageButton,0xABC,"mov dword ptr [esi + 0xab8], 0 at 0x006252F8"
InfoWin,0x9D0,"mov dword ptr [esi + 0x9cc], eax at 0x004588E1"
Interlude,0xADC,"mov eax, dword ptr [esi + 0xad8] at 0x0045F5D2"
JackalVoiceRx,0x18,"mov dword ptr [esi + 0x14], ebx at 0x00538F25"
ListBox,0x44,"mov dword ptr [esi + 0x40], edi at 0x00609E8E"
Lock,0xEC,"mov dword ptr [ecx + 0xe8], ebx at 0x005900E1"
Log,0x8,"mov dword ptr [eax + 4], 0 at 0x00625FB8"
MAmbience,0x74,"mov dword ptr [esi + 0x70], eax at 0x00447335"
MCIVideo,0x474,"mov dword ptr [esi + 0x470], ecx at 0x005FFFCD"
MainInterface,0x24B04,"mov edx, dword ptr [esi + 0x24b00] at 0x0045C485"
MainMenu,0x4,"mov eax, dword ptr [esi] at 0x00460DB7"
MapWin,0x21A68,"cmp ebx, dword ptr [esi + 0x21a64] at 0x00469D9A"
Menu,0xA4C,"mov dword ptr [eax + 0x10], ebx at 0x005FACDA"
MessageWin,0x3758,"mov eax, dword ptr [esi + 0x2b9c] at 0x004720AA"
Midi,0x50,"mov eax, dword ptr [esi + 0x4c] at 0x004C7C6E"
Midi_Device,0x20,"mov dword ptr [esi + 0x1c], edi at 0x004C5761"
MonuWin,0x36DC,"mov dword ptr [esi + 0x36d8], 0x6b at 0x004726E1"
MultiDebug,0xA40,"mov dword ptr [esi + 0xa3c], 0 at 0x005C9848"
MultiWin,0x27F0,"mov dword ptr [edi + 0xadc], ecx at 0x0047A27F"
Net,0x768,"mov dword ptr [esi + 0x764], ebx at 0x0062D850"
NetDaemon,0x1BDC,"mov dword ptr [esi + 0x1bd8], ebx at 0x0052DFD7"
NetFifo,0xC,"mov dword ptr [esi + 8], eax at 0x006339CA"
NetMsg,0x538C,"mov edx, dword ptr [esi + 0x5388] at 0x0047A9C3"
NetWin,0x7734,"mov ecx, dword ptr [ebx + 0x7730] at 0x0047D46F"
