class,size,evidence
AutoSound,0x98,the IDB member table and the observed access bound agree
BAmbience,0x80,the IDB member table and the observed access bound agree
BaseButton,0xAB8,the IDB member table and the observed access bound agree
BasePop,0x3230,the IDB member table and the observed access bound agree
BattleWin,0xA0,the IDB member table and the observed access bound agree
Buffer,0x588,the IDB member table and the observed access bound agree
ButtonGroup,0x94,the IDB member table and the observed access bound agree
Caviar,0x13D0,the IDB member table and the observed access bound agree
CaviarData,0xC,the IDB member table and the observed access bound agree
CheckButton,0xA2C,the IDB member table and the observed access bound agree
Datalink,0x1B394,the IDB member table and the observed access bound agree
DeletionList,0x5A4,the IDB member table and the observed access bound agree
Dialog,0xF4,the IDB member table and the observed access bound agree
FX,0x28F0,the IDB member table and the observed access bound agree
FileWin,0x33C4,the IDB member table and the observed access bound agree
Filemap,0x10,the IDB member table and the observed access bound agree
Font,0x28,the IDB member table and the observed access bound agree
GAmbience,0x74,the IDB member table and the observed access bound agree
GraphicWin,0xA14,the IDB member table and the observed access bound agree
Heap,0x14,the IDB member table and the observed access bound agree
ImageButton,0xABC,the IDB member table and the observed access bound agree
Lock,0xEC,the IDB member table and the observed access bound agree
Log,0x8,the IDB member table and the observed access bound agree
MAmbience,0x74,the IDB member table and the observed access bound agree
MessageWin,0x3758,the IDB member table and the observed access bound agree
Midi_Device,0x20,the IDB member table and the observed access bound agree
NewTechWin,0x107C4,the IDB member table and the observed access bound agree
PrefWin,0x1B3D0,the IDB member table and the observed access bound agree
ProdPicker,0xA840,the IDB member table and the observed access bound agree
PushButton,0xB00,the IDB member table and the observed access bound agree
Random,0x4,the IDB member table and the observed access bound agree
SAmbience,0x78,the IDB member table and the observed access bound agree
Scroll,0x214C,the IDB member table and the observed access bound agree
SelectPartWin,0x464C,the IDB member table and the observed access bound agree
ServiceStruct,0x24,the IDB member table and the observed access bound agree
SocialWin,0x1F2F0,the IDB member table and the observed access bound agree
Sound,0x54,the IDB member table and the observed access bound agree
Spot,0xC,the IDB member table and the observed access bound agree
Sprite,0x2C,the IDB member table and the observed access bound agree
SquareLock,0xC,the IDB member table and the observed access bound agree
StringBox,0x2BA0,the IDB member table and the observed access bound agree
StringStruct,0x24,the IDB member table and the observed access bound agree
Strings,0x18,the IDB member table and the observed access bound agree
SubInterface,0x8,the IDB member table and the observed access bound agree
TexHeap,0x10,the IDB member table and the observed access bound agree
Texture,0x70,the IDB member table and the observed access bound agree
Time,0x28,the IDB member table and the observed access bound agree
TutWin,0x53D8,the IDB member table and the observed access bound agree
Vector,0xC,the IDB member table and the observed access bound agree
VoiceRx,0x54,the IDB member table and the observed access bound agree
VoiceTx,0x58,the IDB member table and the observed access bound agree
Wave,0x6C,the IDB member table and the observed access bound agree
WaveControlGroup,0x18,the IDB member table and the observed access bound agree
Wave_In_Device,0x20,the IDB member table and the observed access bound agree
Win,0x444,the IDB member table and the observed access bound agree
