address,end_address,size,body_ranges,name,binary_kind,recovery_state,ida9_relation,ida9_address,ida9_end_address,ida9_size,ida9_body_ranges,ida9_name,ghidra_relation,ghidra_address,ghidra_end_address,ghidra_size,ghidra_body_ranges,ghidra_name
0x00401000,0x00401058,88,0x00401000-0x00401058,??0StringStruct@@QAE@H@Z,game,unrecovered,exact,0x00401000,0x00401058,88,0x00401000-0x00401058,sub_401000,exact,0x00401000,0x00401058,88,0x00401000-0x00401058,FUN_00401000
0x00401060,0x004010F9,153,0x00401060-0x004010F9,?close@StringStruct@@QAEXXZ,game,source_complete,exact,0x00401060,0x004010F9,153,0x00401060-0x004010F9,sub_401060,exact,0x00401060,0x004010F9,153,0x00401060-0x004010F9,FUN_00401060
0x00401100,0x00401513,1043,0x00401100-0x00401513,?add@StringStruct@@QAEHH@Z,game,original_dependency,exact,0x00401100,0x00401513,1043,0x00401100-0x00401513,sub_401100,exact,0x00401100,0x00401513,1043,0x00401100-0x00401513,FUN_00401100
0x00401520,0x0040155E,62,0x00401520-0x0040155E,sub_401520,game,unrecovered,exact,0x00401520,0x0040155E,62,0x00401520-0x0040155E,sub_401520,exact,0x00401520,0x0040155E,62,0x00401520-0x0040155E,FUN_00401520
0x00401560,0x004015AE,78,0x00401560-0x004015AE,?seek_id@StringStruct@@QAEHH@Z,game,source_complete,exact,0x00401560,0x004015AE,78,0x00401560-0x004015AE,sub_401560,exact,0x00401560,0x004015AE,78,0x00401560-0x004015AE,FUN_00401560
0x004015B0,0x00401636,134,0x004015B0-0x00401636,?seek_pos@StringStruct@@QAEHH@Z,game,unrecovered,exact,0x004015B0,0x00401636,134,0x004015B0-0x00401636,sub_4015B0,exact,0x004015B0,0x00401636,134,0x004015B0-0x00401636,FUN_004015b0
0x00401640,0x00401651,17,0x00401640-0x00401651,?current_id@StringStruct@@QAEHXZ,game,source_complete,exact,0x00401640,0x00401651,17,0x00401640-0x00401651,sub_401640,exact,0x00401640,0x00401651,17,0x00401640-0x00401651,FUN_00401640
0x00401660,0x004016B8,88,0x00401660-0x004016B8,??0ServiceStruct@@QAE@H@Z,game,unrecovered,exact,0x00401660,0x004016B8,88,0x00401660-0x004016B8,sub_401660,exact,0x00401660,0x004016B8,88,0x00401660-0x004016B8,FUN_00401660
0x004016C0,0x00401759,153,0x004016C0-0x00401759,?close@ServiceStruct@@QAEXXZ,game,unrecovered,exact,0x004016C0,0x00401759,153,0x004016C0-0x00401759,sub_4016C0,exact,0x004016C0,0x00401759,153,0x004016C0-0x00401759,FUN_004016c0
0x00401760,0x00401B73,1043,0x00401760-0x00401B73,?add@ServiceStruct@@QAEHH@Z,game,unrecovered,exact,0x00401760,0x00401B73,1043,0x00401760-0x00401B73,sub_401760,exact,0x00401760,0x00401B73,1043,0x00401760-0x00401B73,FUN_00401760
0x00401B80,0x00401BD8,88,0x00401B80-0x00401BD8,sub_401b80,game,unrecovered,exact,0x00401B80,0x00401BD8,88,0x00401B80-0x00401BD8,sub_401B80,exact,0x00401B80,0x00401BD8,88,0x00401B80-0x00401BD8,FUN_00401b80
0x00401BE0,0x00401C79,153,0x00401BE0-0x00401C79,sub_401be0,game,unrecovered,exact,0x00401BE0,0x00401C79,153,0x00401BE0-0x00401C79,sub_401BE0,exact,0x00401BE0,0x00401C79,153,0x00401BE0-0x00401C79,FUN_00401be0
0x00401C80,0x00401CD8,88,0x00401C80-0x00401CD8,SessionStruct::SessionStruct,game,unrecovered,exact,0x00401C80,0x00401CD8,88,0x00401C80-0x00401CD8,sub_401C80,exact,0x00401C80,0x00401CD8,88,0x00401C80-0x00401CD8,FUN_00401c80
0x00401CE0,0x00401D79,153,0x00401CE0-0x00401D79,SessionStruct::close,game,unrecovered,exact,0x00401CE0,0x00401D79,153,0x00401CE0-0x00401D79,sub_401CE0,exact,0x00401CE0,0x00401D79,153,0x00401CE0-0x00401D79,FUN_00401ce0
0x00401D80,0x0040230F,1568,0x00401D80-0x0040230F;0x006504E0-0x00650571,sub_401d80,game,unrecovered,exact,0x00401D80,0x0040230F,1568,0x00401D80-0x0040230F;0x006504E0-0x00650571,sub_401D80,entry_range,0x00401D80,0x0040230F,1423,0x00401D80-0x0040230F,FUN_00401d80
0x00402310,0x0040231F,15,0x00402310-0x0040231F,sub_402310,game,unrecovered,exact,0x00402310,0x0040231F,15,0x00402310-0x0040231F,sub_402310,exact,0x00402310,0x0040231F,15,0x00402310-0x0040231F,FUN_00402310
0x00402320,0x00402349,41,0x00402320-0x00402349,sub_402320,game,unrecovered,exact,0x00402320,0x00402349,41,0x00402320-0x00402349,sub_402320,exact,0x00402320,0x00402349,41,0x00402320-0x00402349,FUN_00402320
0x00402350,0x0040239B,75,0x00402350-0x0040239B,sub_402350,game,unrecovered,exact,0x00402350,0x0040239B,75,0x00402350-0x0040239B,sub_402350,exact,0x00402350,0x0040239B,75,0x00402350-0x0040239B,FUN_00402350
0x004023A0,0x004024F8,365,0x004023A0-0x004024F8;0x00650580-0x00650595,sub_4023a0,game,unrecovered,exact,0x004023A0,0x004024F8,365,0x004023A0-0x004024F8;0x00650580-0x00650595,sub_4023A0,entry_range,0x004023A0,0x004024F8,344,0x004023A0-0x004024F8,FUN_004023a0
0x00402500,0x0040252F,47,0x00402500-0x0040252F,?next_entry@StringStruct@@QAEHXZ,game,source_complete,exact,0x00402500,0x0040252F,47,0x00402500-0x0040252F,sub_402500,exact,0x00402500,0x0040252F,47,0x00402500-0x0040252F,FUN_00402500
0x00402530,0x00402541,17,0x00402530-0x00402541,?current_entry@StringStruct@@QAEHXZ,game,source_complete,exact,0x00402530,0x00402541,17,0x00402530-0x00402541,sub_402530,exact,0x00402530,0x00402541,17,0x00402530-0x00402541,FUN_00402530
0x00402550,0x00402963,1043,0x00402550-0x00402963,SpriteStruct::add,game,unrecovered,exact,0x00402550,0x00402963,1043,0x00402550-0x00402963,sub_402550,exact,0x00402550,0x00402963,1043,0x00402550-0x00402963,FUN_00402550
0x00402970,0x004029E3,115,0x00402970-0x004029E3,StringStruct::remove_all,game,source_complete,exact,0x00402970,0x004029E3,115,0x00402970-0x004029E3,sub_402970,exact,0x00402970,0x004029E3,115,0x00402970-0x004029E3,FUN_00402970
0x004029F0,0x00402A56,102,0x004029F0-0x00402A56,??1StringStruct@@QAE@H@Z,game,unrecovered,exact,0x004029F0,0x00402A56,102,0x004029F0-0x00402A56,sub_4029F0,exact,0x004029F0,0x00402A56,102,0x004029F0-0x00402A56,FUN_004029f0
0x00402A60,0x00402AC6,102,0x00402A60-0x00402AC6,ServiceStruct::dt,game,unrecovered,exact,0x00402A60,0x00402AC6,102,0x00402A60-0x00402AC6,sub_402A60,exact,0x00402A60,0x00402AC6,102,0x00402A60-0x00402AC6,FUN_00402a60
0x00402AD0,0x00402B36,102,0x00402AD0-0x00402B36,sub_402ad0,game,unrecovered,exact,0x00402AD0,0x00402B36,102,0x00402AD0-0x00402B36,sub_402AD0,exact,0x00402AD0,0x00402B36,102,0x00402AD0-0x00402B36,FUN_00402ad0
0x00402B40,0x00402BA6,102,0x00402B40-0x00402BA6,SessionStruct::dt,game,unrecovered,exact,0x00402B40,0x00402BA6,102,0x00402B40-0x00402BA6,sub_402B40,exact,0x00402B40,0x00402BA6,102,0x00402B40-0x00402BA6,FUN_00402b40
0x00402BB0,0x00402C16,102,0x00402BB0-0x00402C16,sub_402bb0,game,unrecovered,exact,0x00402BB0,0x00402C16,102,0x00402BB0-0x00402C16,sub_402BB0,exact,0x00402BB0,0x00402C16,102,0x00402BB0-0x00402C16,FUN_00402bb0
0x00402C20,0x00402C62,66,0x00402C20-0x00402C62,sub_402c20,game,unrecovered,exact,0x00402C20,0x00402C62,66,0x00402C20-0x00402C62,sub_402C20,exact,0x00402C20,0x00402C62,66,0x00402C20-0x00402C62,FUN_00402c20
0x00402C70,0x00402CB2,66,0x00402C70-0x00402CB2,sub_402c70,game,unrecovered,exact,0x00402C70,0x00402CB2,66,0x00402C70-0x00402CB2,sub_402C70,exact,0x00402C70,0x00402CB2,66,0x00402C70-0x00402CB2,FUN_00402c70
0x00402CC0,0x00402D0B,75,0x00402CC0-0x00402D0B,sub_402cc0,game,unrecovered,exact,0x00402CC0,0x00402D0B,75,0x00402CC0-0x00402D0B,sub_402CC0,exact,0x00402CC0,0x00402D0B,75,0x00402CC0-0x00402D0B,FUN_00402cc0
0x00402D10,0x00402D7C,108,0x00402D10-0x00402D7C,sub_402d10,game,unrecovered,exact,0x00402D10,0x00402D7C,108,0x00402D10-0x00402D7C,sub_402D10,exact,0x00402D10,0x00402D7C,108,0x00402D10-0x00402D7C,FUN_00402d10
0x00402D80,0x00402DC2,66,0x00402D80-0x00402DC2,sub_402d80,game,unrecovered,exact,0x00402D80,0x00402DC2,66,0x00402D80-0x00402DC2,sub_402D80,exact,0x00402D80,0x00402DC2,66,0x00402D80-0x00402DC2,FUN_00402d80
0x00402DD0,0x00402ED2,279,0x00402DD0-0x00402ED2;0x006505A0-0x006505B5,sub_402dd0,game,unrecovered,exact,0x00402DD0,0x00402ED2,279,0x00402DD0-0x00402ED2;0x006505A0-0x006505B5,sub_402DD0,entry_range,0x00402DD0,0x00402ED2,258,0x00402DD0-0x00402ED2,FUN_00402dd0
0x00402EE0,0x00402F08,40,0x00402EE0-0x00402F08,sub_402ee0,game,unrecovered,exact,0x00402EE0,0x00402F08,40,0x00402EE0-0x00402F08,sub_402EE0,exact,0x00402EE0,0x00402F08,40,0x00402EE0-0x00402F08,FUN_00402ee0
0x00402F10,0x00402F26,22,0x00402F10-0x00402F26,??__Eg_ALPHAMENU_WAVE@@YAXXZ,game,source_complete,exact,0x00402F10,0x00402F26,22,0x00402F10-0x00402F26,sub_402F10,missing,,,,,
0x00402F30,0x00402F3A,10,0x00402F30-0x00402F3A,??__Fg_ALPHAMENU_WAVE@@YAXXZ,game,source_complete,exact,0x00402F30,0x00402F3A,10,0x00402F30-0x00402F3A,unknown_libname_1,missing,,,,,
0x00402F40,0x00403199,622,0x00402F40-0x00403199;0x006505C0-0x006505D5,?init@AlphaMenu@@QAEHPAUWin@@@Z,game,unrecovered,exact,0x00402F40,0x00403199,622,0x00402F40-0x00403199;0x006505C0-0x006505D5,sub_402F40,entry_range,0x00402F40,0x00403199,601,0x00402F40-0x00403199,FUN_00402f40
0x004031A0,0x00403292,242,0x004031A0-0x00403292,?compute@AlphaMenu@@QAEXXZ,game,unrecovered,exact,0x004031A0,0x00403292,242,0x004031A0-0x00403292,sub_4031A0,exact,0x004031A0,0x00403292,242,0x004031A0-0x00403292,FUN_004031a0
0x004032A0,0x00403335,149,0x004032A0-0x00403335,?adjust@AlphaMenu@@QAEXXZ,game,unrecovered,exact,0x004032A0,0x00403335,149,0x004032A0-0x00403335,sub_4032A0,exact,0x004032A0,0x00403335,149,0x004032A0-0x00403335,FUN_004032a0
0x00403340,0x00403544,516,0x00403340-0x00403544,?on_redraw@AlphaMenu@@QAEXXZ,game,unrecovered,exact,0x00403340,0x00403544,516,0x00403340-0x00403544,sub_403340,exact,0x00403340,0x00403544,516,0x00403340-0x00403544,FUN_00403340
0x00403550,0x0040360F,191,0x00403550-0x0040360F,?on_mouse_move@AlphaMenu@@QAEXHH@Z,game,unrecovered,exact,0x00403550,0x0040360F,191,0x00403550-0x0040360F,sub_403550,exact,0x00403550,0x0040360F,191,0x00403550-0x0040360F,FUN_00403550
0x00403610,0x00403613,3,0x00403610-0x00403613,?requested_height@AlphaMenu@@QAEHXZ,game,source_complete,exact,0x00403610,0x00403613,3,0x00403610-0x00403613,sub_403610,missing,,,,,
0x00403620,0x00403677,87,0x00403620-0x00403677,?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z,game,unrecovered,exact,0x00403620,0x00403677,87,0x00403620-0x00403677,sub_403620,exact,0x00403620,0x00403677,87,0x00403620-0x00403677,FUN_00403620
0x00403680,0x0040382F,431,0x00403680-0x0040382F,?show@AlphaMenu@@QAEXXZ,game,unrecovered,exact,0x00403680,0x0040382F,431,0x00403680-0x0040382F,sub_403680,exact,0x00403680,0x0040382F,431,0x00403680-0x0040382F,FUN_00403680
0x00403830,0x00403AE5,693,0x00403830-0x00403AE5,?hide@AlphaMenu@@QAEXXZ,game,unrecovered,exact,0x00403830,0x00403AE5,693,0x00403830-0x00403AE5,sub_403830,exact,0x00403830,0x00403AE5,693,0x00403830-0x00403AE5,FUN_00403830
0x00403AF0,0x00403B70,128,0x00403AF0-0x00403B70,?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z,game,unrecovered,exact,0x00403AF0,0x00403B70,128,0x00403AF0-0x00403B70,sub_403AF0,exact,0x00403AF0,0x00403B70,128,0x00403AF0-0x00403B70,FUN_00403af0
0x00403B70,0x00403B94,36,0x00403B70-0x00403B94,?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z,game,unrecovered,exact,0x00403B70,0x00403B94,36,0x00403B70-0x00403B94,sub_403B70,exact,0x00403B70,0x00403B94,36,0x00403B70-0x00403B94,FUN_00403b70
0x00403BA0,0x00403BDF,63,0x00403BA0-0x00403BDF,?amovie_project@@YAXH@Z,game,unrecovered,exact,0x00403BA0,0x00403BDF,63,0x00403BA0-0x00403BDF,sub_403BA0,exact,0x00403BA0,0x00403BDF,63,0x00403BA0-0x00403BDF,FUN_00403ba0
0x00403BE0,0x0040400D,1321,0x00403BE0-0x0040400D;0x006505E0-0x006506DC,?amovie_project@@YAXPAD@Z,game,unrecovered,exact,0x00403BE0,0x0040400D,1321,0x00403BE0-0x0040400D;0x006505E0-0x006506DC,sub_403BE0,entry_range,0x00403BE0,0x0040400D,1069,0x00403BE0-0x0040400D,FUN_00403be0
