address,name,source_location,generated,size,span_classes,tier,original_bytes,rebuilt_bytes,original_mnemonics,rebuilt_mnemonics,first_divergence,note,refusal_reason
0x00401000,??0StringStruct@@QAE@H@Z,src/recovered/00401000.cpp,0,88,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,88,88,,,,,
0x00401060,?close@StringStruct@@QAEXXZ,src/stringstruct.cpp:186,0,153,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00401060.cpp(82) : error C2039: 'close_with_tables' : is not a member of 'StringStruct'
u00401060.cpp(64) : see declaration of 'StringStruct'
u00401060.cpp(83) : error C2673: 'close_with_tables' : global functions do not have 'this' pointers
u00401060.cpp(98) : error C2065: 'remove_all' : undeclared identifier
u00401060.cpp(99) : error C2065: 'current_position_' : undeclared identifier"
0x00401100,?add@StringStruct@@QAEHH@Z,,0,1043,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,1043,5,328,2,0,#0: original 'push' vs rebuilt 'xor',
0x00401520,sub_401520,,0,62,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,62,62,,,,,
0x00401560,?seek_id@StringStruct@@QAEHH@Z,src/stringstruct.cpp:68,0,78,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,78,78,,,,,
0x004015B0,?seek_pos@StringStruct@@QAEHH@Z,src/stringstruct.cpp:294,0,134,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,134,134,,,,,
0x00401640,?current_id@StringStruct@@QAEHXZ,src/stringstruct.cpp:19,0,17,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,17,17,,,,,
0x00401660,??0ServiceStruct@@QAE@H@Z,src/recovered/units/00401660.cpp,0,88,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,88,88,26,26,4,#4: original 'mov' vs rebuilt 'xor',
0x004016C0,?close@ServiceStruct@@QAEXXZ,src/recovered/004016c0.cpp,0,153,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,153,153,,,,,
0x00401760,?add@ServiceStruct@@QAEHH@Z,,0,1043,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,1043,5,328,2,0,#0: original 'push' vs rebuilt 'xor',
0x00401B80,sub_401b80,src/recovered/units/00401b80.cpp,0,88,primary=1;eh=0;shared=0;selfmod=0,MNEMONIC_ONLY,88,90,26,26,,,
0x00401BE0,sub_401be0,,0,153,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,153,153,,,,,
0x00401C80,SessionStruct::SessionStruct,src/recovered/units/00401c80.cpp,0,88,primary=1;eh=0;shared=0;selfmod=0,MNEMONIC_ONLY,88,90,26,26,,,
0x00401CE0,SessionStruct::close,,0,153,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,153,153,,,,,
0x00401D80,sub_401d80,,0,1568,primary=1;eh=1;shared=0;selfmod=0,MISMATCH,1423,5,416,2,0,#0: original 'push' vs rebuilt 'xor',
0x00402310,sub_402310,src/recovered/00402310.cpp,0,15,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,15,15,,,,,
0x00402320,sub_402320,src/recovered/00402320.cpp,0,41,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,41,41,,,,,
0x00402350,sub_402350,src/recovered/units/00402350.cpp,0,75,primary=1;eh=0;shared=0;selfmod=0,MNEMONIC_ONLY,75,77,27,27,,,
