address,purge,source,evidence
0x00402F10,0x0,body,one ret imm over 1 body span(s)
0x00402F30,0x0,tail-jump,one ret imm in the tail-jump target 0x004C67C0 over 3 body span(s)
0x00403AF0,0x0,body,one ret imm over 1 body span(s)
0x00403B70,0x0,body,one ret imm over 1 body span(s)
0x00403BA0,0x0,body,one ret imm over 1 body span(s)
0x00403BE0,0x0,body,one ret imm over 2 body span(s)
0x004043A0,0x4,body,one ret imm over 1 body span(s)
0x00404430,0x4,tail-jump,one ret imm in the tail-jump target 0x004043A0 over 1 body span(s)
0x00404440,0x0,body,one ret imm over 1 body span(s)
0x00404460,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404470,0x0,body,one ret imm over 1 body span(s)
0x00404490,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x004044A0,0x0,body,one ret imm over 1 body span(s)
0x004044C0,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x004044D0,0x0,body,one ret imm over 1 body span(s)
0x004044F0,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404500,0x0,body,one ret imm over 1 body span(s)
0x00404520,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404530,0x0,body,one ret imm over 1 body span(s)
0x00404550,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404560,0x0,body,one ret imm over 1 body span(s)
0x00404580,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404590,0x0,body,one ret imm over 1 body span(s)
0x004045B0,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x004045C0,0x0,body,one ret imm over 1 body span(s)
0x004045E0,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x004045F0,0x0,body,one ret imm over 1 body span(s)
0x00404610,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404620,0x0,body,one ret imm over 1 body span(s)
0x00404640,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
0x00404650,0x0,body,one ret imm over 1 body span(s)
0x00404670,0x0,tail-jump,one ret imm in the tail-jump target 0x005E3820 over 1 body span(s)
