file,line,address,class,tier,operand,offset,width,resolution,member,member_offset,member_size,commented_offset,receiver_is_subobject,confidence,evidence
src/alphamovie.cpp,217,,,,this,,char *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/alphamovie.cpp,218,,,,self,,MCIVideo *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/alphamovie.cpp,219,,,,self,,GraphicWin *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/alphamovie.cpp,235,,,,this,,GraphicWin *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/alphanet.cpp,30,0x004E25E0,AlphaNet,NO_COMPILE,this,,const uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/alphanet.cpp,57,0x004E2610,AlphaNet,NO_COMPILE,this,,const uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/alphanet.cpp,86,0x004E2660,AlphaNet,MISMATCH,this,,const uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/alphanet.cpp,115,0x004E26B0,AlphaNet,NO_COMPILE,this,,const uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/alphanet.cpp,162,0x004E25B0,AlphaNet,MNEMONIC_ONLY,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/ambience.cpp,442,0x004C7670,Ambience,SHARED_TAIL,this,,AmbienceSoundView volatile *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,557,0x004C8460,Ambience,SHARED_TAIL,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,558,0x004C8460,Ambience,SHARED_TAIL,this,,volatile uint8_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,587,0x004C8460,Ambience,SHARED_TAIL,this,,Wave *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,784,0x004471F0,FactionAmbience,NO_COMPILE,this,,Ambience *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,785,0x004471F0,FactionAmbience,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,816,0x00447310,MAmbience,MISMATCH,this,,Ambience *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,817,0x00447310,MAmbience,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,848,0x00447850,SAmbience,MISMATCH,this,,Ambience *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
