class,upper_bound,evidence
Ambience,0xB8,"??__Eg_AMBIENCE@@YAXXZ at 0x0074DA40, bounded above by ??__Eg_FAMEWIN@@YAXXZ at 0x0074DAF8"
BaseWin,0x47840,"??__Eg_BASEWIN@@YAXXZ at 0x006A7628, bounded above by ??__Eg_BASEWIN_WAVE@@YAXXZ at 0x006EEE68"
BattleWin,0xFDA8,"??__Eg_BattleWin@@YAXXZ at 0x006EEED8, bounded above by ??__Eg_COUNCWIN@@YAXXZ at 0x006FEC80"
CouncWin,0x51B0,"??__Eg_COUNCWIN@@YAXXZ at 0x006FEC80, bounded above by ??__Eg_CREDITS_WAVE@@YAXXZ at 0x00703E30"
Datalink,0x1B3A0,"??__Eg_DATALINK@@YAXXZ at 0x00703EA0, bounded above by ??__Eg_DESIGNWIN_WAVE@@YAXXZ at 0x0071F240"
DesignWin,0x146E0,"??__Eg_DESIGNWIN@@YAXXZ at 0x0071F2B0, bounded above by ??__Eg_DIPLOPOP@@YAXXZ at 0x00733990"
DiploPop,0x7348,"??__Eg_DIPLOPOP@@YAXXZ at 0x00733990, bounded above by ??__Eg_DIPLOWIN@@YAXXZ at 0x0073ACD8"
DiploWin,0xEF40,"??__Eg_DIPLOWIN@@YAXXZ at 0x0073ACD8, bounded above by ??__Eg_SCOOT_WAVE@@YAXXZ at 0x00749C18"
FX,0x3BF8,"??__Eg_FX@@YAXXZ at 0x00749CF8, bounded above by ??__Eg_OK_WAVE@@YAXXZ at 0x0074D8F0"
FameWin,0xB7D8,"??__Eg_FAMEWIN@@YAXXZ at 0x0074DAF8, bounded above by ??__Eg_VPT_CAVIARDATA@@YAXXZ at 0x007592D0"
FontQueue,0xA0,"??__Eg_FONTQUEUE_VAL1@@YAXXZ at 0x0093FAE8, bounded above by ??__Eg_FONTQUEUE_VAL2@@YAXXZ at 0x0093FB88"
InfoWin,0x1580,"??__Eg_INFOWIN@@YAXXZ at 0x007AD2A0, bounded above by ??__Eg_MAININTERFACE@@YAXXZ at 0x007AE820"
MainInterface,0x25098,"??__Eg_MAININTERFACE@@YAXXZ at 0x007AE820, bounded above by ??__Eg_MAININTERFACE_WAVE@@YAXXZ at 0x007D38B8"
