address,name,prototype,convention,stack_slots,purge
0x00402F10,??__Eg_ALPHAMENU_WAVE@@YAXXZ,void (__cdecl ??__Eg_ALPHAMENU_WAVE@@YAXXZ)(),__cdecl,,verified
0x00402F30,??__Fg_ALPHAMENU_WAVE@@YAXXZ,void (__cdecl ??__Fg_ALPHAMENU_WAVE@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00403AF0,?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z,"int (__cdecl ?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z)(AlphaMenu* this, GraphicWin*, int, RECT*)",__cdecl,111,verified
0x00403B70,?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z,"int (__cdecl ?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z)(AlphaMenu* this, GraphicWin*)",__cdecl,1,verified
0x00403BA0,?amovie_project@@YAXH@Z,void (__cdecl ?amovie_project@@YAXH@Z)(int),__cdecl,1,verified
0x00403BE0,?amovie_project@@YAXPAD@Z,void (__cdecl ?amovie_project@@YAXPAD@Z)(int8*),__cdecl,1,verified
0x004043A0,??_GAlphaMovie@@UAEPAXI@Z,"void* (__thiscall ??_GAlphaMovie@@UAEPAXI@Z)(AlphaMovie* this, unsigned int)",__thiscall,1,verified
0x00404440,??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ)(),__cdecl,,verified
0x00404460,??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404470,??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ)(),__cdecl,,verified
0x00404490,??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x004044A0,??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ)(),__cdecl,,verified
0x004044C0,??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x004044D0,??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ)(),__cdecl,,verified
0x004044F0,??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404500,??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ)(),__cdecl,,verified
0x00404520,??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404530,??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ)(),__cdecl,,verified
0x00404550,??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404560,??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ)(),__cdecl,,verified
0x00404580,??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404590,??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ)(),__cdecl,,verified
0x004045B0,??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x004045C0,??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ)(),__cdecl,,verified
0x004045E0,??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x004045F0,??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ)(),__cdecl,,verified
0x00404610,??__Fg_UNUSED_SPRITE_VAR18@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR18@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404620,??__Eg_UNUSED_SPRITE_VAR03@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR03@@YAXXZ)(),__cdecl,,verified
0x00404640,??__Fg_UNUSED_SPRITE_VAR03@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR03@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404650,??__Eg_UNUSED_SPRITE_VAR20@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR20@@YAXXZ)(),__cdecl,,verified
0x00404670,??__Fg_UNUSED_SPRITE_VAR20@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR20@@YAXXZ)(),__cdecl,,verified-via-tail-jump
0x00404680,??__Eg_UNUSED_SPRITE_VAR16@@YAXXZ,void (__cdecl ??__Eg_UNUSED_SPRITE_VAR16@@YAXXZ)(),__cdecl,,verified
0x004046A0,??__Fg_UNUSED_SPRITE_VAR16@@YAXXZ,void (__cdecl ??__Fg_UNUSED_SPRITE_VAR16@@YAXXZ)(),__cdecl,,verified-via-tail-jump
