address,end_address,size,segment,name,prototype,body_ranges,binary_kind,flags,source_locations,source_statuses,redirect_exports,original_dependencies,recovery_state,priority,notes,comments,call_target_count,caller_count
0x00401000,0x00401058,88,.text,??0StringStruct@@QAE@H@Z,"void (__thiscall ??0StringStruct@@QAE@H@Z)(StringStruct* this, int)",0x00401000-0x00401058,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,0,12
0x00401060,0x004010F9,153,.text,?close@StringStruct@@QAEXXZ,void (__thiscall ?close@StringStruct@@QAEXXZ)(StringStruct* this),0x00401060-0x004010F9,game,frame;sp_ready;purged_ok,src/stringstruct.cpp:186,Complete,,,source_complete,,Runtime redirect installed by DllMain after byte-signature validation,,0,25
0x00401100,0x00401513,1043,.text,?add@StringStruct@@QAEHH@Z,"int (__thiscall ?add@StringStruct@@QAEHH@Z)(StringStruct* this, int)",0x00401100-0x00401513,game,frame;hidden;sp_ready;purged_ok,,,,StringBoxStructAdd,original_dependency,,,,3,21
0x00401520,0x0040155E,62,.text,sub_401520,,0x00401520-0x0040155E,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x00401560,0x004015AE,78,.text,?seek_id@StringStruct@@QAEHH@Z,"int (__thiscall ?seek_id@StringStruct@@QAEHH@Z)(StringStruct* this, int)",0x00401560-0x004015AE,game,frame;hidden;sp_ready;purged_ok,src/stringstruct.cpp:67,Complete,,,source_complete,,Runtime redirect installed by DllMain after byte-signature validation,,0,1
0x004015B0,0x00401636,134,.text,?seek_pos@StringStruct@@QAEHH@Z,"int (__thiscall ?seek_pos@StringStruct@@QAEHH@Z)(StringStruct* this, int)",0x004015B0-0x00401636,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,2
0x00401640,0x00401651,17,.text,?current_id@StringStruct@@QAEHXZ,int (__thiscall ?current_id@StringStruct@@QAEHXZ)(StringStruct* this),0x00401640-0x00401651,game,hidden;sp_ready;purged_ok,src/stringstruct.cpp:18,Complete,,,source_complete,,Runtime redirect installed by DllMain after byte-signature validation,,0,1
0x00401660,0x004016B8,88,.text,??0ServiceStruct@@QAE@H@Z,"void (__thiscall ??0ServiceStruct@@QAE@H@Z)(ServiceStruct* this, int)",0x00401660-0x004016B8,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,2
0x004016C0,0x00401759,153,.text,?close@ServiceStruct@@QAEXXZ,void (__thiscall ?close@ServiceStruct@@QAEXXZ)(ServiceStruct* this),0x004016C0-0x00401759,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00401760,0x00401B73,1043,.text,?add@ServiceStruct@@QAEHH@Z,"int (__thiscall ?add@ServiceStruct@@QAEHH@Z)(ServiceStruct* this, int)",0x00401760-0x00401B73,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,3,1
0x00401B80,0x00401BD8,88,.text,sub_401b80,,0x00401B80-0x00401BD8,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00401BE0,0x00401C79,153,.text,sub_401be0,,0x00401BE0-0x00401C79,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,0,3
0x00401C80,0x00401CD8,88,.text,SessionStruct::SessionStruct,,0x00401C80-0x00401CD8,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00401CE0,0x00401D79,153,.text,SessionStruct::close,,0x00401CE0-0x00401D79,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00401D80,0x0040230F,1568,.text,sub_401d80,,0x00401D80-0x0040230F;0x006504E0-0x00650571,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,6,1
0x00402310,0x0040231F,15,.text,sub_402310,,0x00402310-0x0040231F,game,hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00402320,0x00402349,41,.text,sub_402320,,0x00402320-0x00402349,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,2
0x00402350,0x0040239B,75,.text,sub_402350,,0x00402350-0x0040239B,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x004023A0,0x004024F8,365,.text,sub_4023a0,,0x004023A0-0x004024F8;0x00650580-0x00650595,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00402500,0x0040252F,47,.text,?next_entry@StringStruct@@QAEHXZ,int (__thiscall ?next_entry@StringStruct@@QAEHXZ)(StringStruct* this),0x00402500-0x0040252F,game,sp_ready;purged_ok,src/stringstruct.cpp:44,Complete,,,source_complete,,Runtime redirect installed by DllMain after byte-signature validation,,0,9
0x00402530,0x00402541,17,.text,?current_entry@StringStruct@@QAEHXZ,int (__thiscall ?current_entry@StringStruct@@QAEHXZ)(StringStruct* this),0x00402530-0x00402541,game,hidden;sp_ready;purged_ok,src/stringstruct.cpp:31,Complete,,,source_complete,,Runtime redirect installed by DllMain after byte-signature validation,,0,9
0x00402550,0x00402963,1043,.text,SpriteStruct::add,,0x00402550-0x00402963,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,3,1
0x00402970,0x004029E3,115,.text,StringStruct::remove_all,,0x00402970-0x004029E3,game,hidden;sp_ready;purged_ok,src/stringstruct.cpp:143,Complete,,,source_complete,,Runtime redirect installed by DllMain after byte-signature validation,,0,79
0x004029F0,0x00402A56,102,.text,??1StringStruct@@QAE@H@Z,"void (__thiscall ??1StringStruct@@QAE@H@Z)(StringStruct* this, unsigned int)",0x004029F0-0x00402A56,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00402A60,0x00402AC6,102,.text,ServiceStruct::dt,,0x00402A60-0x00402AC6,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00402AD0,0x00402B36,102,.text,sub_402ad0,,0x00402AD0-0x00402B36,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00402B40,0x00402BA6,102,.text,SessionStruct::dt,,0x00402B40-0x00402BA6,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00402BB0,0x00402C16,102,.text,sub_402bb0,,0x00402BB0-0x00402C16,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00402C20,0x00402C62,66,.text,sub_402c20,,0x00402C20-0x00402C62,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x00402C70,0x00402CB2,66,.text,sub_402c70,,0x00402C70-0x00402CB2,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x00402CC0,0x00402D0B,75,.text,sub_402cc0,,0x00402CC0-0x00402D0B,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00402D10,0x00402D7C,108,.text,sub_402d10,,0x00402D10-0x00402D7C,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00402D80,0x00402DC2,66,.text,sub_402d80,,0x00402D80-0x00402DC2,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x00402DD0,0x00402ED2,279,.text,sub_402dd0,,0x00402DD0-0x00402ED2;0x006505A0-0x006505B5,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,4
0x00402EE0,0x00402F08,40,.text,sub_402ee0,,0x00402EE0-0x00402F08,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,1
0x00402F10,0x00402F26,22,.text,??__Eg_ALPHAMENU_WAVE@@YAXXZ,,0x00402F10-0x00402F26,game,sp_ready;purged_ok,src/init_thunks.cpp:216,Complete,,,source_complete,,,,2,0
0x00402F30,0x00402F3A,10,.text,??__Fg_ALPHAMENU_WAVE@@YAXXZ,,0x00402F30-0x00402F3A,game,sp_ready;purged_ok,src/atexit_thunks.cpp:425,Complete,,,source_complete,,,,0,0
0x00402F40,0x00403199,622,.text,?init@AlphaMenu@@QAEHPAUWin@@@Z,"int (__thiscall ?init@AlphaMenu@@QAEHPAUWin@@@Z)(AlphaMenu* this, Win*)",0x00402F40-0x00403199;0x006505C0-0x006505D5,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,6,0
0x004031A0,0x00403292,242,.text,?compute@AlphaMenu@@QAEXXZ,void (__thiscall ?compute@AlphaMenu@@QAEXXZ)(AlphaMenu* this),0x004031A0-0x00403292,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x004032A0,0x00403335,149,.text,?adjust@AlphaMenu@@QAEXXZ,void (__thiscall ?adjust@AlphaMenu@@QAEXXZ)(AlphaMenu* this),0x004032A0-0x00403335,game,hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
