source_idc_sha256,address,end_address,size,body_ranges,name,prototype,flags,binary_kind
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401000,0x00401058,88,0x00401000-0x00401058,sub_401000,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401060,0x004010F9,153,0x00401060-0x004010F9,sub_401060,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401100,0x00401513,1043,0x00401100-0x00401513,sub_401100,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401520,0x0040155E,62,0x00401520-0x0040155E,sub_401520,"int __thiscall sub_401520(void *Block, char);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401560,0x004015AE,78,0x00401560-0x004015AE,sub_401560,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004015B0,0x00401636,134,0x004015B0-0x00401636,sub_4015B0,int __stdcall sub_4015B0(int Number);,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401640,0x00401651,17,0x00401640-0x00401651,sub_401640,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401660,0x004016B8,88,0x00401660-0x004016B8,sub_401660,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004016C0,0x00401759,153,0x004016C0-0x00401759,sub_4016C0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401760,0x00401B73,1043,0x00401760-0x00401B73,sub_401760,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401B80,0x00401BD8,88,0x00401B80-0x00401BD8,sub_401B80,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401BE0,0x00401C79,153,0x00401BE0-0x00401C79,sub_401BE0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401C80,0x00401CD8,88,0x00401C80-0x00401CD8,sub_401C80,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401CE0,0x00401D79,153,0x00401CE0-0x00401D79,sub_401CE0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00401D80,0x0040230F,1568,0x00401D80-0x0040230F;0x006504E0-0x00650571,sub_401D80,int __stdcall sub_401D80(void *Block);,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402310,0x0040231F,15,0x00402310-0x0040231F,sub_402310,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402320,0x00402349,41,0x00402320-0x00402349,sub_402320,int __cdecl sub_402320(void *Block);,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402350,0x0040239B,75,0x00402350-0x0040239B,sub_402350,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004023A0,0x004024F8,365,0x004023A0-0x004024F8;0x00650580-0x00650595,sub_4023A0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402500,0x0040252F,47,0x00402500-0x0040252F,sub_402500,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402530,0x00402541,17,0x00402530-0x00402541,sub_402530,,0x5400,game
