class,offset,name,size,type
AAmbience,0x0,ambience,88,
AAmbience,0x58,field_58,4,
AAmbience,0x5C,field_5C,4,
AAmbience,0x60,field_60,4,
AAmbience,0x64,field_64,4,
AAmbience,0x68,field_68,4,
AAmbience,0x6C,field_6C,1,
AAmbience,0x6D,field_6D,1,
AAmbience,0x6E,field_70,4,
AlphaMenu,0x0,menu,2916,
AlphaMenu,0xB64,buffer,1416,
AlphaMenu,0x10EC,sprite1,44,
AlphaMenu,0x1118,sprites2,132,
AlphaMovie,0x0,graphicWin,2580,
AlphaMovie,0xA14,mciVideo,1132,
AlphaNet,0x0,net,1892,
AlphaNet,0x764,field_764,4,
AlphaNet,0x768,field_768,4,
AlphaNet,0x76C,field_76C,4,
AlphaNet,0x770,field_770,4,
AlphaNet,0x774,field_774,4,
AlphaNet,0x778,field_778,4,
AlphaNet,0x77C,field_77C,4,
AlphaNet,0x780,field_780,4,
AlphaNet,0x784,field_784,4,
AlphaNet,0x788,field_788,4,
AlphaNet,0x78C,field_78C,4,
AlphaNet,0x790,field_790,4,
AlphaNet,0x794,field_794,4,
AlphaNet,0x798,field_798,4,
AlphaNet,0x79C,field_79C,4,
AlphaNet,0x7A0,field_7A0,4,
AlphaNet,0x7A4,field_7A4,4,
AlphaNet,0x7A8,field_7A8,4,
AlphaNet,0x7AC,field_7AC,4,
AlphaNet,0x7B0,field_7B0,4,
AlphaNet,0x7B4,field_7B4,4,
AlphaNet,0x7B8,field_7B8,4,
AlphaNet,0x7BC,field_7BC,4,
AlphaNet,0x7C0,field_7C0,4,
AlphaNet,0x7C4,field_7C4,4,
AlphaNet,0x7C8,field_7C8,4,
AlphaNet,0x7CC,field_7CC,4,
AlphaNet,0x7D0,field_7D0,4,
AlphaNet,0x7D4,field_7D4,4,
AlphaNet,0x7D8,field_7D8,4,
AlphaNet,0x7DC,field_7DC,4,
AlphaNet,0x7E0,field_7E0,4,
AlphaNet,0x7E4,field_7E4,4,
AlphaNet,0x7E8,field_7E8,4,
AlphaNet,0x7EC,field_7EC,4,
AlphaNet,0x7F0,field_7F0,4,
AlphaNet,0x7F4,field_7F4,4,
AlphaNet,0x7F8,field_7F8,4,
AlphaNet,0x7FC,field_7FC,4,
AlphaNet,0x800,field_800,4,
AlphaNet,0x804,field_804,4,
AlphaNet,0x808,field_808,4,
AlphaNet,0x80C,field_80C,4,
AlphaNet,0x810,field_810,4,
AlphaNet,0x814,field_814,4,
AlphaNet,0x818,field_818,4,
AlphaNet,0x81C,field_81C,4,
AlphaNet,0x820,field_820,4,
AlphaNet,0x824,field_824,4,
AlphaNet,0x828,field_828,4,
AlphaNet,0x82C,field_82C,4,
AlphaNet,0x830,field_830,4,
AlphaNet,0x834,field_834,4,
AlphaNet,0x838,field_838,4,
AlphaNet,0x83C,field_83C,4,
AlphaNet,0x840,field_840,4,
AlphaNet,0x844,field_844,4,
AlphaNet,0x848,field_848,4,
AlphaNet,0x84C,field_84C,4,
AlphaNet,0x850,field_850,4,
AlphaNet,0x854,field_854,4,
AlphaNet,0x858,field_858,4,
AlphaNet,0x85C,field_85C,4,
AlphaNet,0x860,field_860,4,
AlphaNet,0x864,field_864,4,
AlphaNet,0x868,field_868,4,
AlphaNet,0x86C,field_86C,4,
AlphaNet,0x870,field_870,4,
AlphaNet,0x874,field_874,4,
AlphaNet,0x878,field_878,4,
AlphaNet,0x87C,field_87C,4,
AlphaNet,0x880,field_880,4,
AlphaNet,0x884,field_884,4,
AlphaNet,0x888,field_888,4,
AlphaNet,0x88C,field_88C,4,
AlphaNet,0x890,field_890,4,
AlphaNet,0x894,field_894,4,
AlphaNet,0x898,field_898,4,
AlphaNet,0x89C,field_89C,4,
AlphaNet,0x8A0,field_8A0,4,
AlphaNet,0x8A4,field_8A4,4,
AlphaNet,0x8A8,field_8A8,4,
AlphaNet,0x8AC,field_8AC,4,
AlphaNet,0x8B0,field_8B0,4,
AlphaNet,0x8B4,field_8B4,4,
AlphaNet,0x8B8,field_8B8,4,
AlphaNet,0x8BC,field_8BC,4,
AlphaNet,0x8C0,field_8C0,4,
AlphaNet,0x8C4,field_8C4,4,
AlphaNet,0x8C8,field_8C8,4,
AlphaNet,0x8CC,field_8CC,4,
AlphaNet,0x8D0,field_8D0,4,
AlphaNet,0x8D4,field_8D4,4,
AlphaNet,0x8D8,field_8D8,4,
AlphaNet,0x8DC,field_8DC,4,
AlphaNet,0x8E0,field_8E0,4,
AlphaNet,0x8E4,field_8E4,4,
AlphaNet,0x8E8,field_8E8,4,
AlphaNet,0x8EC,field_8EC,4,
AlphaNet,0x8F0,field_8F0,4,
AlphaNet,0x8F4,field_8F4,4,
AlphaNet,0x8F8,field_8F8,4,
AlphaNet,0x8FC,field_8FC,4,
AlphaNet,0x900,field_900,4,
AlphaNet,0x904,field_904,4,
AlphaNet,0x908,field_908,4,
AlphaNet,0x90C,field_90C,4,
AlphaNet,0x910,field_910,4,
AlphaNet,0x914,field_914,4,
AlphaNet,0x918,field_918,4,
AlphaNet,0x91C,field_91C,4,
AlphaNet,0x920,field_920,4,
AlphaNet,0x924,field_924,4,
AlphaNet,0x928,field_928,4,
AlphaNet,0x92C,field_92C,4,
AlphaNet,0x930,field_930,4,
AlphaNet,0x934,field_934,4,
AlphaNet,0x938,field_938,4,
AlphaNet,0x93C,field_93C,4,
AlphaNet,0x940,field_940,4,
AlphaNet,0x944,field_944,4,
AlphaNet,0x948,field_948,4,
AlphaNet,0x94C,field_94C,4,
AlphaNet,0x950,field_950,4,
AlphaNet,0x954,field_954,4,
AlphaNet,0x958,field_958,4,
AlphaNet,0x95C,field_95C,4,
AlphaNet,0x960,field_960,4,
AlphaNet,0x964,field_964,4,
AlphaNet,0x968,field_968,4,
AlphaNet,0x96C,field_96C,4,
AlphaNet,0x970,field_970,4,
AlphaNet,0x974,field_974,4,
AlphaNet,0x978,field_978,4,
AlphaNet,0x97C,field_97C,4,
AlphaNet,0x980,field_980,4,
AlphaNet,0x984,field_984,4,
AlphaNet,0x988,field_988,4,
AlphaNet,0x98C,field_98C,4,
AlphaNet,0x990,field_990,4,
AlphaNet,0x994,field_994,4,
AlphaNet,0x998,field_998,4,
AlphaNet,0x99C,field_99C,4,
AlphaNet,0x9A0,field_9A0,4,
AlphaNet,0x9A4,field_9A4,4,
AlphaNet,0x9A8,field_9A8,4,
AlphaNet,0x9AC,field_9AC,4,
AlphaNet,0x9B0,field_9B0,4,
AlphaNet,0x9B4,field_9B4,4,
AlphaNet,0x9B8,field_9B8,4,
AlphaNet,0x9BC,field_9BC,4,
AlphaNet,0x9C0,field_9C0,4,
AlphaNet,0x9C4,field_9C4,4,
AlphaNet,0x9C8,field_9C8,4,
AlphaNet,0x9CC,field_9CC,4,
AlphaNet,0x9D0,field_9D0,4,
AlphaNet,0x9D4,field_9D4,4,
AlphaNet,0x9D8,field_9D8,4,
AlphaNet,0x9DC,field_9DC,4,
AlphaNet,0x9E0,field_9E0,4,
AlphaNet,0x9E4,field_9E4,4,
AlphaNet,0x9E8,field_9E8,4,
AlphaNet,0x9EC,field_9EC,4,
AlphaNet,0x9F0,field_9F0,4,
AlphaNet,0x9F4,field_9F4,4,
AlphaNet,0x9F8,field_9F8,4,
AlphaNet,0x9FC,field_9FC,4,
AlphaNet,0xA00,field_A00,4,
AlphaNet,0xA04,field_A04,4,
AlphaNet,0xA08,field_A08,4,
AlphaNet,0xA0C,field_A0C,4,
AlphaNet,0xA10,field_A10,4,
AlphaNet,0xA14,field_A14,4,
AlphaNet,0xA18,field_A18,4,
AlphaNet,0xA1C,field_A1C,4,
AlphaNet,0xA20,field_A20,4,
AlphaNet,0xA24,field_A24,4,
