class,offset,width,x87,evidence
AAmbience,0x0,4,0,"?begin@AAmbience@@QAEXXZ: mov eax, dword ptr [esi] at 0x00447DB3"
AAmbience,0x58,4,0,?tech@AAmbience@@QAEXXZ: inc dword ptr [ecx + 0x58] at 0x00448280
AlphaMenu,0x0,4,0,"?adjust@AlphaMenu@@QAEXXZ: mov eax, dword ptr [esi] at 0x004032C1"
AlphaMenu,0x118,4,0,"?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z: mov esi, dword ptr [ecx + 0x118] at 0x00403661"
AlphaMenu,0x13C,4,0,"?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z: mov edx, dword ptr [esi] at 0x00403638"
AlphaMenu,0x140,4,0,"?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z: mov edx, dword ptr [esi + 4] at 0x0040363D"
AlphaMenu,0x144,4,0,"?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z: mov eax, dword ptr [esi + 8] at 0x00403640"
AlphaMenu,0x148,4,0,"?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z: mov esi, dword ptr [esi + 0xc] at 0x00403643"
AlphaMenu,0x474,4,0,"?show@AlphaMenu@@QAEXXZ: mov edx, dword ptr [edi + 0x474] at 0x004036BA"
AlphaMenu,0x478,4,0,"?show@AlphaMenu@@QAEXXZ: mov eax, dword ptr [ecx + 4] at 0x004036C3"
AlphaMenu,0x47C,4,0,"?show@AlphaMenu@@QAEXXZ: mov edx, dword ptr [ecx + 8] at 0x004036C9"
AlphaMenu,0x480,4,0,"?show@AlphaMenu@@QAEXXZ: mov eax, dword ptr [ecx + 0xc] at 0x004036CF"
AlphaMenu,0x4C4,4,0,"?hide@AlphaMenu@@QAEXXZ: mov eax, dword ptr [esi + 0x4c4] at 0x004038D7"
AlphaMenu,0x4C8,4,0,"?hide@AlphaMenu@@QAEXXZ: mov edx, dword ptr [esi + 0x4c8] at 0x004038D1"
AlphaMenu,0xA18,4,0,"?compute@AlphaMenu@@QAEXXZ: mov eax, dword ptr [ebx + 0xa18] at 0x004031AB"
AlphaMenu,0xA24,4,0,"?on_redraw@AlphaMenu@@QAEXXZ: cmp eax, dword ptr [esi + 0xa24] at 0x004033B0"
AlphaMenu,0xA2C,4,0,"?on_redraw@AlphaMenu@@QAEXXZ: mov ecx, dword ptr [esi + 0xa2c] at 0x004034B0"
AlphaMenu,0xA3C,4,0,"?on_redraw@AlphaMenu@@QAEXXZ: mov edx, dword ptr [edi - 4] at 0x00403499"
AlphaMenu,0xA40,1,0,"?on_redraw@AlphaMenu@@QAEXXZ: mov al, byte ptr [edi] at 0x00403436"
AlphaMenu,0x10F4,1,0,"?on_redraw@AlphaMenu@@QAEXXZ: mov dl, byte ptr [ecx + 8] at 0x0040336F"
AlphaMenu,0x1104,4,0,"?adjust@AlphaMenu@@QAEXXZ: mov ecx, dword ptr [esi + 0x1104] at 0x004032B9"
AlphaMenu,0x1108,4,0,"?compute@AlphaMenu@@QAEXXZ: mov eax, dword ptr [ebx + 0x1108] at 0x004031C3"
AlphaMenu,0x1120,1,0,"?on_redraw@AlphaMenu@@QAEXXZ: mov dl, byte ptr [ecx + 8] at 0x004033F2"
AlphaMenu,0x1130,4,0,"?compute@AlphaMenu@@QAEXXZ: mov ecx, dword ptr [ebx + 0x1130] at 0x004031C9"
AlphaMenu,0x1134,4,0,"?compute@AlphaMenu@@QAEXXZ: mov edi, dword ptr [ebx + 0x1134] at 0x004031B1"
AlphaMovie,0x0,4,0,"??0AlphaMovie@@QAE@XZ: mov dword ptr [esi], 0x669458 at 0x00404049"
AlphaMovie,0x444,4,0,"??0AlphaMovie@@QAE@XZ: mov dword ptr [esi + 0x444], 0x669450 at 0x0040404F"
AlphaNet,0x0,4,0,"??0AlphaNet@@QAE@XZ: mov dword ptr [esi], 0x66eacc at 0x004E2572"
AlphaNet,0xB0,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [edi], 0x66eafc at 0x00538CB4"
AlphaNet,0xB4,4,0,"??1AlphaNet@@QAE@XZ: mov edx, dword ptr [esi + 0xb4] at 0x00538CBA"
AlphaNet,0xC4,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [edi + 0x14], 0 at 0x00538CD5"
AlphaNet,0xCC,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [esi + 0xcc], ebx at 0x00538CE2"
AlphaNet,0xD0,4,0,"??1AlphaNet@@QAE@XZ: mov ecx, dword ptr [esi + 0xd0] at 0x00538CDC"
AlphaNet,0x6E0,4,0,"?pick_service@AlphaNet@@QAEHPAH@Z: cmp dword ptr [esi + 0x6e0], edi at 0x004E2759"
AlphaNet,0x72C,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [ecx], 0x66941c at 0x00538C2C"
AlphaNet,0x730,4,0,"??1AlphaNet@@QAE@XZ: mov eax, dword ptr [edi - 0x20] at 0x00538C32"
AlphaNet,0x740,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [edi - 0x10], 0 at 0x00538C4C"
AlphaNet,0x750,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [edi], ebx at 0x00538C64"
AlphaNet,0x754,4,0,"??1AlphaNet@@QAE@XZ: mov eax, dword ptr [edi + 4] at 0x00538C5C"
AlphaNet,0x758,4,0,"??1AlphaNet@@QAE@XZ: mov dword ptr [esi + 0x758], ebx at 0x00538C71"
AlphaNet,0x75C,4,0,"??1AlphaNet@@QAE@XZ: mov ecx, dword ptr [esi + 0x75c] at 0x00538C6B"
AlphaNet,0x768,4,0,"??0AlphaNet@@QAE@XZ: mov dword ptr [esi + 0x768], ebx at 0x004E2590"
AlphaNet,0x78C,4,0,"??0AlphaNet@@QAE@XZ: mov dword ptr [eax], ebx at 0x004E2583"
AlphaNet,0x790,1,0,"??0AlphaNet@@QAE@XZ: mov byte ptr [eax - 2], dl at 0x004E24CD"
AlphaNet,0x791,1,0,"??0AlphaNet@@QAE@XZ: mov byte ptr [eax - 1], bl at 0x004E24D0"
AlphaNet,0x792,1,0,"??0AlphaNet@@QAE@XZ: mov byte ptr [eax], bl at 0x004E24D3"
AlphaNet,0x793,1,0,"??0AlphaNet@@QAE@XZ: mov byte ptr [eax + 1], dl at 0x004E24D5"
AlphaNet,0x794,1,0,"??0AlphaNet@@QAE@XZ: mov byte ptr [eax + 2], 2 at 0x004E24D8"
