class,field,type,evidence
CList,vtbl,int,declared by PRACX and absent from Thinker
Caviar,vtbl,void*,declared by PRACX and absent from Thinker
Console,aoMainArrayItem1,CMainArrayItem,declared by PRACX and absent from Thinker
Console,aoMainArrayItem2,CMainArrayItem,declared by PRACX and absent from Thinker
Console,field_1DD74,int,declared by PRACX and absent from Thinker
Console,field_1DD78,int,declared by PRACX and absent from Thinker
Console,field_1DE28,char,declared by PRACX and absent from Thinker
Console,field_1E3AC,int,declared by PRACX and absent from Thinker
Console,field_1E3B0,char,declared by PRACX and absent from Thinker
Console,field_1E934,int,declared by PRACX and absent from Thinker
Console,field_1E938,char,declared by PRACX and absent from Thinker
Console,field_1EEBC,int,declared by PRACX and absent from Thinker
Console,field_21A44,int,declared by PRACX and absent from Thinker
Console,field_2247C,char,declared by PRACX and absent from Thinker
Console,field_22A00,int,declared by PRACX and absent from Thinker
Console,field_23590,char,declared by PRACX and absent from Thinker
Console,field_23B14,int,declared by PRACX and absent from Thinker
Console,field_23D90,int,declared by PRACX and absent from Thinker
Console,iFont4Height,int,declared by PRACX and absent from Thinker
Console,oClass2_2,CWinBuffed,declared by PRACX and absent from Thinker
Console,oMap,CMap,declared by PRACX and absent from Thinker
Console,vtbl,MapVtbl*,declared by PRACX and absent from Thinker
GraphicWin,oWinBase,CWinBase,declared by PRACX and absent from Thinker
Menu,pMenuHandlerCB,MENU_HANDLER_CB_F,declared by PRACX and absent from Thinker
StatusWin,field_30,int,declared by PRACX and absent from Thinker
Win,field_188,int,declared by PRACX and absent from Thinker
Win,field_194,int,declared by PRACX and absent from Thinker
Win,field_198,int,declared by PRACX and absent from Thinker
Win,oClass0A,CClass0A,declared by PRACX and absent from Thinker
Win,pCanvas1,CCanvas*,declared by PRACX and absent from Thinker
Win,pCanvas2,CCanvas*,declared by PRACX and absent from Thinker
Win,pCanvas3,CCanvas*,declared by PRACX and absent from Thinker
Win,pCanvas4,CCanvas*,declared by PRACX and absent from Thinker
Win,poWinBuffed1,CWinBuffed*,declared by PRACX and absent from Thinker
Win,poWinBuffed2,CWinBuffed*,declared by PRACX and absent from Thinker
