priority,score,address,name,size,caller_count,call_target_count,recovery_state,binding_category,binding_strategy,analysis_entry_agreement,ida9_relation,ghidra_relation,prototype
P2,12021,0x00401000,??0StringStruct@@QAE@H@Z,88,12,0,unrecovered,,,2,exact,exact,"void (__thiscall ??0StringStruct@@QAE@H@Z)(StringStruct* this, int)"
P0,1021321,0x00401100,?add@StringStruct@@QAEHH@Z,1043,21,3,original_dependency,ui_dependency,recover_string_struct_add,2,exact,exact,"int (__thiscall ?add@StringStruct@@QAEHH@Z)(StringStruct* this, int)"
P3,120,0x00401520,sub_401520,62,0,1,unrecovered,,,2,exact,exact,
P3,2121,0x004015B0,?seek_pos@StringStruct@@QAEHH@Z,134,2,1,unrecovered,,,2,exact,exact,"int (__thiscall ?seek_pos@StringStruct@@QAEHH@Z)(StringStruct* this, int)"
P3,2021,0x00401660,??0ServiceStruct@@QAE@H@Z,88,2,0,unrecovered,,,2,exact,exact,"void (__thiscall ??0ServiceStruct@@QAE@H@Z)(ServiceStruct* this, int)"
P3,1021,0x004016C0,?close@ServiceStruct@@QAEXXZ,153,1,0,unrecovered,,,2,exact,exact,void (__thiscall ?close@ServiceStruct@@QAEXXZ)(ServiceStruct* this)
P3,1321,0x00401760,?add@ServiceStruct@@QAEHH@Z,1043,1,3,unrecovered,,,2,exact,exact,"int (__thiscall ?add@ServiceStruct@@QAEHH@Z)(ServiceStruct* this, int)"
P3,1020,0x00401B80,sub_401b80,88,1,0,unrecovered,,,2,exact,exact,
P3,3020,0x00401BE0,sub_401be0,153,3,0,unrecovered,,,2,exact,exact,
P3,1020,0x00401C80,SessionStruct::SessionStruct,88,1,0,unrecovered,,,2,exact,exact,
P3,1020,0x00401CE0,SessionStruct::close,153,1,0,unrecovered,,,2,exact,exact,
P3,1620,0x00401D80,sub_401d80,1568,1,6,unrecovered,,,2,exact,entry_range,
P3,1020,0x00402310,sub_402310,15,1,0,unrecovered,,,2,exact,exact,
P3,2120,0x00402320,sub_402320,41,2,1,unrecovered,,,2,exact,exact,
P3,220,0x00402350,sub_402350,75,0,2,unrecovered,,,2,exact,exact,
P3,1020,0x004023A0,sub_4023a0,365,1,0,unrecovered,,,2,exact,entry_range,
P3,1320,0x00402550,SpriteStruct::add,1043,1,3,unrecovered,,,2,exact,exact,
P3,221,0x004029F0,??1StringStruct@@QAE@H@Z,102,0,2,unrecovered,,,2,exact,exact,"void (__thiscall ??1StringStruct@@QAE@H@Z)(StringStruct* this, unsigned int)"
P3,220,0x00402A60,ServiceStruct::dt,102,0,2,unrecovered,,,2,exact,exact,
P3,220,0x00402AD0,sub_402ad0,102,0,2,unrecovered,,,2,exact,exact,
P3,220,0x00402B40,SessionStruct::dt,102,0,2,unrecovered,,,2,exact,exact,
P3,220,0x00402BB0,sub_402bb0,102,0,2,unrecovered,,,2,exact,exact,
P3,120,0x00402C20,sub_402c20,66,0,1,unrecovered,,,2,exact,exact,
P3,120,0x00402C70,sub_402c70,66,0,1,unrecovered,,,2,exact,exact,
P3,220,0x00402CC0,sub_402cc0,75,0,2,unrecovered,,,2,exact,exact,
P3,1020,0x00402D10,sub_402d10,108,1,0,unrecovered,,,2,exact,exact,
P3,120,0x00402D80,sub_402d80,66,0,1,unrecovered,,,2,exact,exact,
P3,4120,0x00402DD0,sub_402dd0,279,4,1,unrecovered,,,2,exact,entry_range,
P3,1020,0x00402EE0,sub_402ee0,40,1,0,unrecovered,,,2,exact,exact,
P3,621,0x00402F40,?init@AlphaMenu@@QAEHPAUWin@@@Z,622,0,6,unrecovered,,,2,exact,entry_range,"int (__thiscall ?init@AlphaMenu@@QAEHPAUWin@@@Z)(AlphaMenu* this, Win*)"
P3,221,0x004031A0,?compute@AlphaMenu@@QAEXXZ,242,0,2,unrecovered,,,2,exact,exact,void (__thiscall ?compute@AlphaMenu@@QAEXXZ)(AlphaMenu* this)
P3,121,0x004032A0,?adjust@AlphaMenu@@QAEXXZ,149,0,1,unrecovered,,,2,exact,exact,void (__thiscall ?adjust@AlphaMenu@@QAEXXZ)(AlphaMenu* this)
P3,721,0x00403340,?on_redraw@AlphaMenu@@QAEXXZ,516,0,7,unrecovered,,,2,exact,exact,void (__thiscall ?on_redraw@AlphaMenu@@QAEXXZ)(AlphaMenu* this)
P3,221,0x00403550,?on_mouse_move@AlphaMenu@@QAEXHH@Z,191,0,2,unrecovered,,,2,exact,exact,"void (__thiscall ?on_mouse_move@AlphaMenu@@QAEXHH@Z)(AlphaMenu* this, int xCoord, int yCoord)"
P3,21,0x00403620,?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z,87,0,0,unrecovered,,,2,exact,exact,"void (__thiscall ?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z)(AlphaMenu* this, int*, int*)"
P3,3821,0x00403680,?show@AlphaMenu@@QAEXXZ,431,3,8,unrecovered,,,2,exact,exact,void (__thiscall ?show@AlphaMenu@@QAEXXZ)(AlphaMenu* this)
P2,9221,0x00403830,?hide@AlphaMenu@@QAEXXZ,693,8,12,unrecovered,,,2,exact,exact,void (__thiscall ?hide@AlphaMenu@@QAEXXZ)(AlphaMenu* this)
P3,220,0x00403AF0,?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z,128,0,2,unrecovered,,,2,exact,exact,
P3,120,0x00403B70,?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z,36,0,1,unrecovered,,,2,exact,exact,
