address,name,argument_count,evidence
0x00401520,sub_401520,2,"IDA 9.4 guess_type int __thiscall(void *Block, char)"
0x00401B80,sub_401b80,1,IDA 9.4 guess_type int __stdcall(int)
0x00401BE0,sub_401be0,0,IDA 9.4 guess_type int()
0x00401C80,SessionStruct::SessionStruct,1,IDA 9.4 guess_type int __stdcall(int)
0x00401CE0,SessionStruct::close,0,IDA 9.4 guess_type int()
0x00401D80,sub_401d80,1,IDA 9.4 guess_type int __stdcall(void *Block)
0x00402310,sub_402310,0,IDA 9.4 guess_type int()
0x00402320,sub_402320,1,IDA 9.4 guess_type int __cdecl(void *Block)
0x00402350,sub_402350,1,IDA 9.4 guess_type int __stdcall(char)
0x004023A0,sub_4023a0,0,IDA 9.4 guess_type int()
0x00402550,SpriteStruct::add,1,IDA 9.4 guess_type int __stdcall(int)
0x00402970,StringStruct::remove_all,0,IDA 9.4 guess_type int()
0x00402A60,ServiceStruct::dt,1,IDA 9.4 guess_type int __stdcall(char)
0x00402AD0,sub_402ad0,1,IDA 9.4 guess_type int __stdcall(char)
0x00402B40,SessionStruct::dt,1,IDA 9.4 guess_type int __stdcall(char)
0x00402BB0,sub_402bb0,1,IDA 9.4 guess_type int __stdcall(char)
0x00402C20,sub_402c20,1,IDA 9.4 guess_type int __stdcall(char)
0x00402C70,sub_402c70,1,IDA 9.4 guess_type int __stdcall(char)
0x00402CC0,sub_402cc0,1,IDA 9.4 guess_type int __stdcall(char)
0x00402D10,sub_402d10,1,IDA 9.4 guess_type int __stdcall(int)
0x00402D80,sub_402d80,1,IDA 9.4 guess_type int __stdcall(char)
0x00402DD0,sub_402dd0,0,IDA 9.4 guess_type int()
0x00402EE0,sub_402ee0,4,"IDA 9.4 guess_type int __stdcall(int, int, int, int)"
0x004042B0,sub_4042b0,1,IDA 9.4 guess_type Iostream_init *__thiscall(Iostream_init *__hidden this)
0x00404420,sub_404420,0,IDA 9.4 guess_type int()
0x00406670,sub_406670,1,IDA 9.4 guess_type int __stdcall(char)
0x004066C0,sub_4066c0,0,IDA 9.4 guess_type int()
0x00406820,sub_406820,1,IDA 9.4 guess_type void __thiscall(void *)
0x00406840,sub_406840,0,IDA 9.4 guess_type int()
0x00406A80,sub_406a80,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00406A90,sub_406a90,0,IDA 9.4 guess_type int()
0x00406AF0,sub_406af0,0,IDA 9.4 guess_type int()
0x00406B20,nullsub_27,3,"IDA 9.4 guess_type int __stdcall(int, int, int)"
0x00406B30,sub_406b30,0,IDA 9.4 guess_type int()
0x00406B70,sub_406b70,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00406BA0,sub_406ba0,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x004080B0,sub_4080b0,0,IDA 9.4 guess_type int()
0x004216F0,sub_4216f0,3,"IDA 9.4 guess_type int __stdcall(int, int, int)"
0x00421980,PopMenu::delete1,1,IDA 9.4 guess_type int __stdcall(int)
0x00421990,PopMenu::delete2,1,IDA 9.4 guess_type int __stdcall(int)
0x004219A0,PopMenu::delete3,1,IDA 9.4 guess_type int __stdcall(int)
0x00440F30,sub_440f30,0,IDA 9.4 guess_type int()
0x00440F60,sub_440f60,0,IDA 9.4 guess_type void __cdecl()
0x00441100,sub_441100,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x004450B0,sub_4450b0,1,IDA 9.4 guess_type void __thiscall(void *)
0x004482F0,sub_4482f0,1,IDA 9.4 guess_type int __stdcall(int)
0x00448310,sub_448310,0,IDA 9.4 guess_type int()
0x00448320,sub_448320,0,IDA 9.4 guess_type int()
0x00448330,sub_448330,0,IDA 9.4 guess_type int()
0x00448340,sub_448340,0,IDA 9.4 guess_type int()
0x00448380,sub_448380,0,IDA 9.4 guess_type int()
0x00448390,sub_448390,2,"IDA 9.4 guess_type int __thiscall(void *Block, char)"
0x0044AF70,sub_44af70,0,IDA 9.4 guess_type int()
0x0044C820,nullsub_3,0,IDA 9.4 guess_type int()
0x0044C850,nullsub_191,0,IDA 9.4 guess_type int()
0x0044C870,sub_44c870,0,IDA 9.4 guess_type int()
0x0044C8A0,nullsub_226,0,IDA 9.4 guess_type int()
0x0044C8B0,nullsub_227,0,IDA 9.4 guess_type int()
0x0044C8C0,sub_44c8c0,0,IDA 9.4 guess_type int()
0x0044C8D0,nullsub_229,0,IDA 9.4 guess_type int()
0x0044C8E0,nullsub_230,0,IDA 9.4 guess_type int()
0x0044C8F0,nullsub_231,0,IDA 9.4 guess_type int()
0x0044C900,nullsub_232,0,IDA 9.4 guess_type int()
0x0044C930,nullsub_233,0,IDA 9.4 guess_type int()
0x0044C960,nullsub_234,0,IDA 9.4 guess_type int()
0x0044C970,sub_44c970,0,IDA 9.4 guess_type int()
0x0044C9A0,nullsub_235,0,IDA 9.4 guess_type int()
0x0044C9D0,nullsub_236,0,IDA 9.4 guess_type int()
0x0044CA00,nullsub_237,0,IDA 9.4 guess_type int()
0x0044CA30,nullsub_238,0,IDA 9.4 guess_type int()
0x0044CA60,nullsub_239,0,IDA 9.4 guess_type int()
0x0044CAC0,nullsub_240,0,IDA 9.4 guess_type int()
0x0044CAF0,nullsub_241,0,IDA 9.4 guess_type int()
0x0044CB00,nullsub_242,0,IDA 9.4 guess_type int()
0x0044CB10,nullsub_243,0,IDA 9.4 guess_type int()
0x0044CB20,nullsub_244,0,IDA 9.4 guess_type int()
0x0044CB40,sub_44cb40,1,IDA 9.4 guess_type int __cdecl(int)
0x00471160,mapwin_nullsub1,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00471170,mapwin_nullsub2,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00471180,mapwin_nullsub3,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00471190,mapwin_nullsub4,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x004712D0,mapwin_unk1,9,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int Value, int, int, int)"
0x0048D550,sub_48d550,0,IDA 9.4 guess_type int()
0x0048D560,sub_48d560,0,IDA 9.4 guess_type int()
0x0048D570,sub_48d570,0,IDA 9.4 guess_type int()
0x0048D590,sub_48d590,0,IDA 9.4 guess_type int()
0x0048D5B0,sub_48d5b0,0,IDA 9.4 guess_type int()
0x0048D5D0,sub_48d5d0,0,IDA 9.4 guess_type int()
0x0048D5F0,sub_48d5f0,0,IDA 9.4 guess_type int()
0x0048D610,sub_48d610,0,IDA 9.4 guess_type int()
0x0048D630,sub_48d630,0,IDA 9.4 guess_type int()
0x0048D650,sub_48d650,0,IDA 9.4 guess_type int()
0x0048D670,sub_48d670,0,IDA 9.4 guess_type int()
0x0048D690,sub_48d690,0,IDA 9.4 guess_type int()
0x0048D6B0,sub_48d6b0,0,IDA 9.4 guess_type int()
0x0048D6D0,sub_48d6d0,0,IDA 9.4 guess_type int()
0x0048D6F0,sub_48d6f0,0,IDA 9.4 guess_type int()
0x0048D710,sub_48d710,0,IDA 9.4 guess_type int()
0x0048D730,sub_48d730,0,IDA 9.4 guess_type int()
0x0048D750,sub_48d750,0,IDA 9.4 guess_type int()
0x0048D760,sub_48d760,0,IDA 9.4 guess_type int()
0x0048D770,sub_48d770,0,IDA 9.4 guess_type int()
0x0048D790,sub_48d790,0,IDA 9.4 guess_type int()
0x0048D7B0,sub_48d7b0,0,IDA 9.4 guess_type int()
0x0048D7D0,sub_48d7d0,0,IDA 9.4 guess_type int()
0x0048D7F0,sub_48d7f0,0,IDA 9.4 guess_type int()
0x0048D810,sub_48d810,0,IDA 9.4 guess_type int()
0x0048D820,sub_48d820,0,IDA 9.4 guess_type int()
0x004C1D00,vehdraw_nullsub1,0,IDA 9.4 guess_type int()
0x004C38A0,vehdraw_nullsub2,0,IDA 9.4 guess_type int()
0x004C5BF0,sub_4c5bf0,1,IDA 9.4 guess_type int __stdcall(int)
0x004C72A0,sub_4c72a0,1,IDA 9.4 guess_type int __thiscall(void *)
0x004C75A0,sub_4c75a0,0,IDA 9.4 guess_type int()
0x004C75B0,sub_4c75b0,0,IDA 9.4 guess_type int()
0x004C7CC0,sub_4c7cc0,1,IDA 9.4 guess_type int __stdcall(int)
0x004C7F70,sub_4c7f70,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x004C7FA0,sub_4c7fa0,1,IDA 9.4 guess_type int __stdcall(int)
0x004C7FC0,sub_4c7fc0,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x004C7FF0,sub_4c7ff0,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x004C8020,sub_4c8020,1,IDA 9.4 guess_type int __stdcall(int)
0x004C8070,sub_4c8070,0,IDA 9.4 guess_type int()
0x004C8090,sub_4c8090,0,IDA 9.4 guess_type int()
0x004C8100,sub_4c8100,0,IDA 9.4 guess_type int()
0x004C8140,nullsub_223,0,IDA 9.4 guess_type int()
0x004C8290,sub_4c8290,1,IDA 9.4 guess_type int __stdcall(char *Source)
0x004C8620,sub_4c8620,0,IDA 9.4 guess_type int()
0x004C86D0,sub_4c86d0,0,IDA 9.4 guess_type int()
0x004C87B0,sub_4c87b0,4,"IDA 9.4 guess_type int __stdcall(int, int, int, int)"
0x004C8840,sub_4c8840,0,IDA 9.4 guess_type int()
0x004C8890,sub_4c8890,1,IDA 9.4 guess_type int __stdcall(int)
0x004C88B0,sub_4c88b0,0,IDA 9.4 guess_type int()
0x004C88C0,sub_4c88c0,1,IDA 9.4 guess_type int __stdcall(int)
