address,name,size,mechanism,evidence
0x0046FB10,?main_caption@MapWin@@QAEXXZ,16,hybrid_runtime,src/generated_signature_oracle.cpp
0x004BA830,?UNK2@TutWin@@QAEXPAURECT@@PAHPAH@Z,51,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x004E25E0,?pid_2_idx@AlphaNet@@QAEHK@Z,39,hybrid_runtime,src/generated_signature_oracle.cpp
0x004E2610,?pid_2_who@AlphaNet@@QAEHK@Z,67,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x004E2660,?who_2_pid@AlphaNet@@QAEHH@Z,72,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x004E26B0,?who_2_idx@AlphaNet@@QAEXH@Z,44,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x0052DC70,?not_my_turn@@YAHXZ,44,hybrid_runtime,src/generated_signature_oracle.cpp
0x0058EE50,?desktop_update@@YAXXZ,1,hybrid_runtime,src/generated_signature_oracle.cpp
0x005D4CF0,??0GraphicWin@@QAE@XZ,230,hybrid_runtime,src/constructor_oracle.cpp
0x005D4E40,?close@GraphicWin@@QAEXXZ,166,hybrid_runtime,src/graphicwin_oracle.cpp
0x005D7210,??0Buffer@@QAE@XZ,530,hybrid_runtime,src/constructor_oracle.cpp
0x005E3373,?get_data@Buffer@@QAEHXZ,119,hybrid_runtime,src/buffer_oracle.cpp
0x005EB3D0,??0Win@@QAE@XZ,621,hybrid_runtime,src/constructor_oracle.cpp
0x005ED240,?client_to_screen@Win@@QAEXPAH0@Z,133,hybrid_runtime,src/win_oracle.cpp
0x005ED7D0,?move@Win@@QAEHHH@Z,167,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x005EE0F0,?set_vert_paging@Win@@QAEXH@Z,23,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x005EE110,?set_horz_paging@Win@@QAEXH@Z,23,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x005F7E90,?is_visible@Win@@QAEHXZ,38,hybrid_runtime,src/win_oracle.cpp
0x005F86C0,sub_5f86c0,38,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
0x005F8CB0,?hide_item@PullDown@@QAEHH@Z,111,legacy_leaf_island,CMakeLists.txt recovery-oracles --address
