verdict,class,offset,built,detail,evidence
at-zero,AlphaMenu,0x0,Menu,src/ bases: [],??1AlphaMenu@@QAE@XZ: call ??1Menu@@QAE@XZ on this+0x0 at 0x0051DC72
agreed,AlphaMenu,0xB64,Buffer,buffer_ 0x588,??1AlphaMenu@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0xB64 at 0x0051DC64
agreed,AlphaMenu,0x10EC,Sprite,sprite1_ 0x2C,??1AlphaMenu@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x10EC at 0x0051DC55
base,AlphaMovie,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??0AlphaMovie@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x0040402F
agreed,AlphaMovie,0xA14,MCIVideo,mciVideo_ 0x474,??0AlphaMovie@@QAE@XZ: call ??0MCIVideo@@QAE@XZ on this+0xA14 at 0x00404041
absent,AlphaMovie,0xA24,Palette,0x454 bytes,??1AlphaMovie@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0xA24 at 0x00404372
at-zero,AlphaNet,0x0,Net,src/ bases: [],??0AlphaNet@@QAE@XZ: call ??0Net@@QAE@XZ on this+0x0 at 0x004E24B7
absent,AlphaNet,0x58,VoiceTx,0x58 bytes,??1AlphaNet@@QAE@XZ: call ??1VoiceTx@@QAE@XZ on this+0x58 at 0x00538CF8
absent,AlphaNet,0xB0,JackalVoiceRx,0x18 bytes,??1AlphaNet@@QAE@XZ: call ??1JackalVoiceRx@@QAE@XZ on this+0xB0 at 0x00538CD0
absent,AlphaNet,0xE8,NetFifo,0x10 bytes,??1AlphaNet@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0xE8 at 0x00538CA5
absent,AlphaNet,0x10C,NetFifo,0x10 bytes,??1AlphaNet@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0x10C at 0x00538C96
absent,AlphaNet,0x130,NetFifo,0x10 bytes,??1AlphaNet@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0x130 at 0x00538C87
absent,AlphaNet,0x148C,Heap,0x14 bytes,??0AlphaNet@@QAE@XZ: call ??0Heap@@QAE@XZ on this+0x148C at 0x004E256D
at-zero,AlphaSave,0x0,GraphicWin,src/ bases: [],??0AlphaSave@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x0040736F
agreed,AlphaSave,0xA14,FileWin,fileWin_ 0x33C4,??0AlphaSave@@QAE@XZ: call ??0FileWin@@QAE@XZ on this+0xA14 at 0x00407381
absent,AlphaSave,0x1BC0,FlatButton,0xB4C bytes,??1AlphaSave@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x1BC0 at 0x00408325
absent,AlphaSave,0x270C,EditBox,0xB74 bytes,??1AlphaSave@@QAE@XZ: call ?close@EditBox@@QAEXXZ on this+0x270C at 0x004082E7
absent,AlphaSave,0x3258,Time,0x28 bytes,??1AlphaSave@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x3258 at 0x004082F6
absent,AlphaSave,0x32C8,ListBox,0xB54 bytes,??1AlphaSave@@QAE@XZ: call ??1ListBox@@QAE@XZ on this+0x32C8 at 0x004082B1
absent,AlphaSave,0x3CE0,Dialog,0xF4 bytes,??1AlphaSave@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x3CE0 at 0x004082BC
agreed,AlphaSave,0x3DD8,Scroll,scroll_ 0x214C,??0AlphaSave@@QAE@XZ: call ??0Scroll@@QAE@XZ on this+0x3DD8 at 0x00407390
absent,AlphaSave,0x4884,FlatButton,0xB4C bytes,??1AlphaSave@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x4884 at 0x00408276
absent,AlphaSave,0x53D0,FlatButton,0xB4C bytes,??1AlphaSave@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x53D0 at 0x00408247
agreed,AlphaSave,0x5F24,Sprite,sprite1_ 0x2C,??0AlphaSave@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x5F24 at 0x0040739F
agreed,AlphaSave,0x5FD4,Sprite,sprite3_ 0x2C,??0AlphaSave@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x5FD4 at 0x004073CC
agreed,AlphaSave,0x6000,Sprite,sprite4_ 0x2C,??0AlphaSave@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x6000 at 0x004073DB
agreed,AlphaSave,0x602C,Sprite,sprite5_ 0x2C,??0AlphaSave@@QAE@XZ: call ??0Sprite@@QAE@XZ on this+0x602C at 0x004073EA
at-zero,BAmbience,0x0,Ambience,src/ bases: [],??0BAmbience@@QAE@XZ: call ??0Ambience@@QAE@XZ on this+0x0 at 0x004478D3
base,BaseButton,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??0BaseButton@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x00606F4E
agreed,BaseButton,0xA1C,Time,time1_ 0x28,??0BaseButton@@QAE@XZ: call ??0Time@@QAE@XZ on this+0xA1C at 0x00606F5F
agreed,BaseButton,0xA4C,Time,time2_ 0x28,??0BaseButton@@QAE@XZ: call ??0Time@@QAE@XZ on this+0xA4C at 0x00606F6F
base,BasePop,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??1BasePop@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x0040665A
agreed,BasePop,0xA28,Heap,heap_ 0x14,??0BasePop@@QAE@XZ: call ??0Heap@@QAE@XZ on this+0xA28 at 0x00600897
