struct,offset,field,size
AlphaIniPref,0x0,preferences,4
AlphaIniPref,0x4,more_preferences,4
AlphaIniPref,0x8,announce,4
AlphaIniPref,0xC,rules,4
AlphaIniPref,0x10,semaphore,4
AlphaIniPref,0x14,time_controls,4
AlphaIniPref,0x18,customize,4
AlphaIniPref,0x1C,custom_world,28
AlphaIniPref,0x38,(sizeof),
AlphaNet,,(sizeof),
AlphaNet,,field_1000,1024
AlphaNet,,field_1400,140
AlphaNet,,field_760,160
AlphaNet,,field_800,1024
AlphaNet,,field_C00,1024
AlphaNet,,heap,20
BASE,,(sizeof),
BASE,,0,
BASE,0x0,x,2
BASE,0x2,y,2
BASE,0x4,faction_id,1
BASE,0x5,faction_id_former,1
BASE,0x6,pop_size,1
BASE,0x7,assimilation_turns_left,1
BASE,0x8,nerve_staple_turns_left,1
BASE,0x9,ai_plan_status,1
BASE,0xA,visibility,1
BASE,0xB,factions_pop_size_intel,8
BASE,0x13,name,25
BASE,0x2C,unk_x,2
BASE,0x2E,unk_y,2
BASE,0x30,state_flags,4
BASE,0x34,event_flags,4
BASE,0x38,governor_flags,4
BASE,0x3C,nutrients_accumulated,4
BASE,0x40,minerals_accumulated,4
BASE,0x44,production_id_last,4
BASE,0x48,eco_damage,4
BASE,0x4C,queue_size,4
BASE,0x50,queue_items,40
BASE,0x78,worked_tiles,4
BASE,0x7C,specialist_total,4
BASE,0x80,specialist_adjust,4
BASE,0x84,specialist_types,8
BASE,0x8C,facilities_built,12
BASE,0x98,mineral_surplus_final,4
BASE,0x9C,minerals_accumulated_2,4
BASE,0xA0,pad_1,4
BASE,0xA4,pad_2,4
BASE,0xA8,pad_3,4
BASE,0xAC,pad_4,4
BASE,0xB0,nutrient_intake,4
BASE,0xB4,mineral_intake,4
BASE,0xB8,energy_intake,4
BASE,0xBC,unused_intake,4
BASE,0xC0,nutrient_intake_2,4
BASE,0xC4,mineral_intake_2,4
BASE,0xC8,energy_intake_2,4
BASE,0xCC,unused_intake_2,4
BASE,0xD0,nutrient_surplus,4
BASE,0xD4,mineral_surplus,4
BASE,0xD8,energy_surplus,4
BASE,0xDC,unused_surplus,4
BASE,0xE0,nutrient_inefficiency,4
